run_accession	library_name	run_alias	fastq_md5	fastq_ftp	sample_alias	sample_title
SRR13393737	US-5-7	TYW-7_S10_L001_R1_001.fastq.gz	93f0414f1a7179d2f99ec84d7cd5b25c;1e71675319423b88ecd0d644b1fd81a2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/037/SRR13393737/SRR13393737_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/037/SRR13393737/SRR13393737_2.fastq.gz	US5-7	PCR of ITS
SRR13393738	US-5-2	TYW-2_S93_L001_R1_001.fastq.gz	8869436b57958bd05a0418d5fcf9a8ee;ac8624ddabdbe1a9e922cefbb470a38d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/038/SRR13393738/SRR13393738_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/038/SRR13393738/SRR13393738_2.fastq.gz	US5-2	PCR of ITS
SRR13393739	US-5-1	TYW-1_S81_L001_R1_001.fastq.gz	f79b6c4fbde3a50865e03f46e560aa00;89aa81ca7d5a4b95b39b6eaffd76ebad	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/039/SRR13393739/SRR13393739_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/039/SRR13393739/SRR13393739_2.fastq.gz	US5-1	PCR of ITS
SRR13393740	US-4-10	RS-10_S31_L001_R1_001.fastq.gz	bb9fc14fcbb4e51ba91c5b7e1a4904a0;8ff4f9bf78397f1bf566a6d553c46d21	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/040/SRR13393740/SRR13393740_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/040/SRR13393740/SRR13393740_2.fastq.gz	US4-10	PCR of ITS
SRR13393741	US-4-9	RS-9_S19_L001_R1_001.fastq.gz	3364de5bd1cc4de6fab6684288fab2a2;6d17b2717ecd4607f94d629d342f4e1e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/041/SRR13393741/SRR13393741_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/041/SRR13393741/SRR13393741_2.fastq.gz	US4-9	PCR of ITS
SRR13393742	US-4-7	RS-7_S7_L001_R1_001.fastq.gz	4efa94cf31311a198f4b747f893230cc;4fbdd193b2037263650b2ca049b83418	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/042/SRR13393742/SRR13393742_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/042/SRR13393742/SRR13393742_2.fastq.gz	US4-7	PCR of ITS
SRR13393743	US-4-6	RS-6_S90_L001_R1_001.fastq.gz	944d12d95f1a3059b440f43abaa6166f;e1fc76f1d0dbb8a3068fd19414ae6e83	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/043/SRR13393743/SRR13393743_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/043/SRR13393743/SRR13393743_2.fastq.gz	US4-6	PCR of ITS
SRR13393744	US-4-3	RS-3_S78_L001_R1_001.fastq.gz	72b4bff338e0516ad2dd92559c202f07;5480f6c733c33a6150f1ec246b43c544	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/044/SRR13393744/SRR13393744_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/044/SRR13393744/SRR13393744_2.fastq.gz	US4-3	PCR of ITS
SRR13393745	US-4-2	RS-2_S66_L001_R1_001.fastq.gz	6bf6cabdbfb9328ad73e0b824f9d8790;925e9e905314e0e0dbcde25e07b7eb1d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/045/SRR13393745/SRR13393745_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/045/SRR13393745/SRR13393745_2.fastq.gz	US4-2	PCR of ITS
SRR13393746	US-4-1	RS-1_S54_L001_R1_001.fastq.gz	f091f6497fa84ee00c2e0052ecb2984e;dfdd911c55d6abdd974f8db56ab57940	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/046/SRR13393746/SRR13393746_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/046/SRR13393746/SRR13393746_2.fastq.gz	US4-1	PCR of ITS
SRR13393747	DS-1-3	B-3_S38_L001_R1_001.fastq.gz	3be40fdb145314af3dec1dc8294064e6;27776102a67d734837dfd05ba386438f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/047/SRR13393747/SRR13393747_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/047/SRR13393747/SRR13393747_2.fastq.gz	DS1-3	PCR of ITS
SRR13393748	US-3-10	OWS-10_S9_L001_R1_001.fastq.gz	c892b989974a41137bb7510201f8877f;f4d322120fad28e826544bdac6160b19	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/048/SRR13393748/SRR13393748_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/048/SRR13393748/SRR13393748_2.fastq.gz	US3-10	PCR of ITS
SRR13393749	US-3-9	OWS-9_S92_L001_R1_001.fastq.gz	e79308c3d1d088c47892c5f9faec2e2d;606ba1e362e6edc96098b90ff5d06dbf	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/049/SRR13393749/SRR13393749_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/049/SRR13393749/SRR13393749_2.fastq.gz	US3-9	PCR of ITS
SRR13393750	US-3-8	OWS-8_S80_L001_R1_001.fastq.gz	466546e72bc191b2c8d8e9cf75fe198e;92c2eb0c35fc734b218b190eb4479f27	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/050/SRR13393750/SRR13393750_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/050/SRR13393750/SRR13393750_2.fastq.gz	US3-8	PCR of ITS
