Site Code (Site Type)	Location	Surveyed Location and Nearest Hosts	Signs of Ill-Health Tree Status	ITS	COI	Isolation	ITS Illumina
DS1 (Arboreta)	DS1-1	Mixed Pinus species and Abies	Healthy	P. austrocedri	Clade 8 Phytophthora sp. uncultured 5b	P. cryptogea	SRR13393769
DS1 (Arboreta)	DS1-2	Mixed new planting Asian species (broadleaved trees and conifers)	Healthy	P. austrocedri	-	-	SRR13393758
DS1 (Arboreta)	DS1-3	Heathland	Healthy	P. austrocedri	-	-	SRR13393747
DS1 (Arboreta)	DS1-4	Pinus sp.	Declining	P. austrocedri	-	P. cinnamomi	SRR13393835
DS1 (Arboreta)	DS1-5	Acid grassland, mainly conifers	Healthy	P. austrocedri	-	P. cinnamomi	SRR13393833
DS1 (Arboreta)	DS1-6	Cedrus sp.	Healthy	P. austrocedri	-	P. cinnamomi	SRR13393832
DS1 (Arboreta)	DS1-7	New planting Betula, Nothofagus, Quercus	Healthy	P. austrocedri, P. pseudosyringae	-	-	SRR13393791
DS1 (Arboreta)	DS1-8	Mixed broadleaved trees and conifers new plantings	Healthy	P. austrocedri	New Clade Phytophthora sp. uncultured 12b	P. megasperma	SRR13393780
DS1 (Arboreta)	DS1-9	Mixed broadleaved trees and conifers new plantings	Healthy	-	-	-	SRR13393831
DS1 (Arboreta)	DS1-10	Acid grassland, conifer and broadleaved trees, new plantings	Healthy	-	-	P. cinnamomi	Unavailable
DS2 (Woodland/Recreational Park)	DS2-1	Fraxinus	Declining	-	-	-	Unavailable
DS2 (Woodland/Recreational Park)	DS2-2	Quercus	Dead trees	Clade 7 Phytophthora sp. uncultured 3a and 21a	P. europaea	-	SRR13393830
DS2 (Woodland/Recreational Park)	DS2-3	Fraxinus	Dead trees	P. cactorum, P. syringae, P. cinnamomi	P. cactorum	-	SRR13393829
DS2 (Woodland/Recreational Park)	DS2-4	Quercus	Declining	P. cactorum, P. syringae, Clade 7 Phytophthora sp. uncultured 21a	P. uliginosa, Clade 1 Phytophthora sp. uncultured 2b, New Clade Phytophthora sp. uncultured 12b	-	SRR13393828
