#sequence-name	taxid	genus-species
ea364c182199815b78fc2630a9b4d6be_890548	0	(Off-target) Homo sapiens
ee13e86b3851ec63b2978d6158703fe3_666881	0	(Off-target) Anatidae (waterfowl)
48eee95ff2591f9b1aab140164768c7b_538918	0	Abramis brama
3badbeb1ed5e2f12a3a192130ba150df_288462	0	Cyprinus carpio
d0069a8ca898fce2fea087ac19c11e1f_266565	0	Carassius carassius
8b43ed15592de8e0fb0cd95d23517d85_249195	0	Tinca tinca
17dbc1c331d17cd075aabd6f710a039b_165704	0	Astatotilapia calliptera;Maylandia zebra
abffa3c86673597dbc0fdb6b33bc3419_161604	0	Rutilus rutilus
db8779a75a1cb5a5ec0e402fcfaf86e3_85047	0	(Off-target) Gallinula chloropus
96074c4504736bff1496da3eb171d93a_43848	0	(Off-target) Columba
39b1beb71a8ebea0515738bf460314e3_27310	0	(Off-target) Ovis aries
495a9823e659c4f08b8992537cccf24b_25437	0	Barbus barbus
7e88b1bdeff6b6a361cc2175f4f630fd_21848	0	Perca fluviatilis
4ff4e781757ee1039904349cdc605926_21387	0	(Off-target) Anatidae (waterfowl)
20c2df8130fc365b7f334f730552eb9c_16607	0	(Off-target) Anatidae (waterfowl)
2ece81b30dc97ff1cd51b0c054d2fa25_12761	0	(Off-target) Phalacrocorax carbo
bf509309733cfe62da0a2970c467cff2_8443	0	(Off-target) Homo sapiens
e7240a28d05a52722a7570029c9a880b_7455	0	(Off-target) Homo sapiens
3c506a1e3e37182931687be18414a6a3_6954	0	(Off-target) Sus scrofa
099613aedb46ca6353dd3f34ae2daec4_6625	0	(Off-target) Homo sapiens
1b650324aafac0e6e6f0c473eccff258_5925	0	(Off-target) Homo sapiens
af3a58f2cb86abc3a30f769011a6ccc2_5471	0	(Off-target) Homo sapiens
9a193f7029a33b9c5987ea89fb233370_5056	0	(Off-target) Gallus gallus
0c1953958636362ca2347e398eb8c36c_5023	0	(Off-target) Homo sapiens
12ec47a024145ea53abe2244343a8a18_4850	0	(Off-target) Homo sapiens
285edce3d193c92b1959e60bc130b518_4794	0	Ctenopharyngodon idella;Tinca tinca
9e675ac5875629aa62e1afaedb00fbb9_3594	0	(Off-target) Homo sapiens
307c55294ffe3b8aa46fce358d55590e_3444	0	(Off-target) Homo sapiens
7784629e98867bebee16c26e04632027_2977	0	(Off-target) Homo sapiens
1faae8e15a7e64198fa94fd274cbade2_2961	0	
ebe064d47c61812f39dcf9ef4510f5e1_2764	0	
2259a7bc5c7d95cb820b6a3fe68b0e08_2672	0	(Off-target) Ardea cinerea
97d4b89e17101a66cdcb62d3be1ef5d0_2637	0	(Off-target) Canis lupus familiaris
7fef2f8e6a8bee56528216dfc05f0d81_2557	0	(Off-target) Homo sapiens
10b96f6692a5deef3c218d5ef53f81ba_2548	0	Squalius cephalus
d716fc9efb2600b97ff163051847713b_2466	0	
6fbd5d8c95ab7c1232195b38c2dd6c6b_2439	0	(Off-target) Turdus
4c53f6ed1ecdad3af2299999ec83d756_2291	0	Carassius carassius;Spinibarbus denticulatus
e7d496c48958efa82a1a8585fb16b3f8_2173	0	Silurus glanis
123d0b498a1056c10329d847b75bb05e_2159	0	Cyprinus carpio
1535a44c66f8850e6d30284f8ddeb38d_2037	0	(Off-target) Homo sapiens
6400059bef62585b05266da6847619c4_1838	0	(Off-target) Anatidae (waterfowl)
fc6d040e1564a91e1c6d67e1e32b9022_1824	0	
34e7c06e144a16c5b14de687c98bc3af_1508	0	
476d548d15412657e5861e4b872051e7_1479	0	(Off-target) Apodemus
989013af2395aea06e80451cf08681fa_1240	0	(Off-target) Homo sapiens
59add2cd7e7fb3712980945e1f7b6e7e_1162	0	
f4727af40a648bcfcb51b13d8835e6c7_1156	0	(Off-target) Anatidae (waterfowl)
0a4ad2f6516f35365ae3d9c5f4c19a01_1123	0	
4584f59cfc5054e0423e95fdb9853976_1067	0	
35561bfd5dec86ded3e1e7131a3196e8_974	0	(Off-target) Canis lupus familiaris
e84ba99989d3530d6985fb5abe63e8e3_925	0	
a2b9a749985700c1c2174796ce1079f0_852	0	
7cd9bf4914b6f4deb7a0bdfe95cdfa5c_844	0	
2a53392fe4add5780f959b56407423d0_837	0	Scardinius erythrophthalmus
cd35b1da3450d5271d56dc8ef094f5a3_835	0	(Off-target) Homo sapiens
48bc0e6942dd10259a005ecbf7428201_825	0	
9e218ddde05826daea9943de26124674_818	0	(Off-target) Sturnus
370f6bf719b97c564b22fbe418872d49_771	0	
d1e155afed4573884ebc0f66e6d98b21_769	0	
4c5905c5ab539613d9c3069d0ae54188_757	0	(Off-target) Bos taurus
4425aca95636d946b21e51dbd597dcea_749	0	(Off-target) Homo sapiens
70b193971320a752045d920e5ffabbc7_592	0	
0bfafe04e0f705f3a2cc92c2e7b3e432_552	0	Carassius carassius
e819f3c222d6493572534fb6a5b7cda7_520	0	Pseudorasbora parva
ac6d2b81fc78a87288fcb5bfaa69bdd3_502	0	
b42a8e8898795571cd871fb4c4d1afad_474	0	
4127ea936be1a0eb69cc133739d5236e_460	0	
35ede79b4743a6f0e0ef24a4cb536773_449	0	
499b9ca712877868c83cb6a7516173ef_405	0	(Off-target) Homo sapiens
3420af18edfc2be72d3d199c91ba15ba_395	0	
19341e6fafa0582e74b02daa2e11d5db_395	0	Carassius carassius
8b3ee6be65b9604207b89c105e9aa937_387	0	
246d2bebef1b2de8c81d52dd7a9acdae_376	0	
671ea61051153c4ba9a20cc4a66a7a03_348	0	(Off-target) Columba
692959b9a46c9fb3190175da81c071a8_340	0	(Off-target) Anatidae (waterfowl)
04d55c0d4f4c398ab547bfd734cff283_335	0	Abramis brama
82863a9a7ee316988ef727e9709a520c_334	0	Abramis brama
b98431728ea1411a01266cc44efb4a5c_326	0	
7c037fbb0ad864f66f1496a6c2d316df_323	0	(Off-target) Anatidae (waterfowl)
1dece934f79c6bec21ddc2b120d26582_321	0	Cyprinus carpio
8c947f83a9c15e2b84154ffe21f65f90_291	0	
3d5c2e947035f457f0d6d296d7613d85_286	0	
f556ba7929a19c44f1413abb734344c3_284	0	(Off-target) Anatidae (waterfowl)
76befbaa8cd62b4dd4829fc60a384805_281	0	
de017825d9dc49b6d05d5d11d0592783_273	0	
f462b1c535b4e08024bd089350b54206_256	0	(Off-target) Homo sapiens
6a33df7471597a76b73373672cd48e03_250	0	
8102121a959caebf9f72d2ab4f86be6f_250	0	Cyprinus carpio
21ddbbc48531f8da2db11aeb48faaba1_250	0	
eaa9ab0098e4cfa6082e43252be84b9c_246	0	(Off-target) Capra hircus;(Off-target) Ovis dalli
c87adc1353c37ba77db89622a9b7932d_240	0	(Off-target) Homo sapiens
c7687fa40cd90f7f94fa156872de985e_234	0	
ab9e3565fed25057785427488e997ad8_233	0	Abramis brama
54c9fb482ab7c038317928589ac3d178_233	0	Cyprinus carpio
ab09826c998448d1d59fc5fd2400e3f9_231	0	
b6db97db74b10d9ffbb4a5a34a2ec06b_231	0	
4c0645b36f4593da676cb214f0d43d10_230	0	
21b6cde46f469aae91965c2d7c9cd51e_229	0	
79132a1e16b3a082ffaa7568c030fdb1_227	0	(Off-target) Homo sapiens
c13ccf863404d4bfd4459e627e4df11b_226	0	(Off-target) Anatidae (waterfowl)
7d63943cc215a0c02ff85605e910900b_225	0	
b13ff4f0c17016c9bb7d7c4248456360_223	0	(Off-target) Homo sapiens
453365dd5b19b2717ff0bcc1681d5f0e_221	0	Abramis brama
2a485cd03741c6fe6b14da2f20e691ff_220	0	(Off-target) Homo sapiens
