#sequence-name	taxid	genus-species
42fae48028421359bbb425cb4ae90852_229293	0	Brassica oleracea
52c44034dfac8c893cc9d53822a23252_114813	0	Brassica oleracea
36bc2ac002458bec706790a621659aa9_23443	0	Echinocactus sp.
ac34cb2c8df0285b878aa3fee9af71d6_14121	0	Brassica oleracea
07501e4c9b71a5c8609f593900e18662_13710	0	Brassica oleracea
531cff97b71139e04b2a664fcc65c5d5_13378	0	
cbf7dea887031a40c0af75e7402bf3a7_12858	0	Lactuca altaica;Lactuca serriola;Lactuca virosa
71c2d0a920865b9ae53b6220ff443f74_10627	0	Brassica oleracea
12c513ea89c949d06f7956f5f689dc38_6862	0	Brassica oleracea
8d575fa0d810ed6e8e371eba7309daa5_6598	0	
1f4429f89601ee03d3a8daf4ff7bebfc_6509	0	Epimedium wushanense
2368a111523da6a3f2c6cb0f4dd19993_3845	0	
2b93f2904b33e8eeffec0bfbe9684bc3_3533	0	
9c3f8ba50509130f47bbea5c46a049e5_3422	0	Foeniculum vulgare
93420a67da8cbeb4b3b0c88bcce515d0_2591	0	
aa4e557e3bb718f4230763a5916e2a97_1241	0	
9e2097b7e4c4e424314187909223374d_1217	0	
31584849638fc8f74081b80799bc2f15_1043	0	
c7398738f3657757c2da39a6e983324a_877	0	Echinocactus sp.
8fd8887b5cc166115df08b0a083a51b9_784	0	
b17094f475185cf3e7c2bfec8c53c744_691	0	Euphorbia sp.
42132aecc8bbff11ab3c2f930148e495_622	0	
03a2b0d632c29284aa69b9181f1b887a_613	0	
0ee67e5290fef01e1a150d6934fec2fa_577	0	
5e33adb69f712d6de769a7a7c56dbb91_561	0	
b3c209455f8225b15d36b7d3da741d3f_545	0	Foeniculum vulgare
47d25e89098c0888f7113443527c5c91_464	0	Epimedium wushanense
d11cfa97c834281ed577868d346c4fad_434	0	Brassica oleracea
9b7d3ff07e10429a4a7387d1920ccdda_433	0	Brassica oleracea
56a93f09d0e4dbdeb59104aa1c905be2_402	0	
8ba4a3a761d1a6858d2d79af46664abe_359	0	Epimedium wushanense
678fc12dee3bb5376c182603aeb27322_329	0	Lactuca altaica;Lactuca serriola;Lactuca virosa
d89e4ed303789d495e5ace106852dd10_302	0	
60bec0473fd283ad238ae5a754138ac7_288	0	
3d2bb5a8ed32b0bd5b15e7d18b2015bb_288	0	
63880596cf902e2d9ba4fd50c0b890d0_288	0	
47b99f96e066af55b2546e08eb6322f8_274	0	
c690bed4e2ccea18ccd1181462ba8a0f_273	0	
77de69ec7608f2756ec65c997a89c9e4_267	0	Brassica oleracea
9f658fbeaeba094d1397835435199c3d_266	0	
e31812f7f47466d1e7e238ced2e20dfe_254	0	
0258be9e2d4b06c10fe6db68b8160ccd_252	0	Foeniculum vulgare
db321caa0fa663060599c83e2b65a043_243	0	
fa601edca7188001f38add33dec84472_236	0	Lactuca altaica;Lactuca serriola;Lactuca virosa
da1d26dd2e538d734be32b6f3e34b3e7_234	0	
43c225d296039a50335dd6c8ac766682_227	0	Lactuca altaica;Lactuca serriola;Lactuca virosa
8ff9550ef8f59b852fcbf75cb4b8fe50_193	0	
c64e6aff51ffc9599d7b03e5559abaae_192	0	
5fee88dc5fcf39e1f02998a4c6893ff3_188	0	
042a38c3e20f1f57a333380d6a8fb2de_177	0	
2b5406049743f9054b1f6997637d8dcc_175	0	
a9a040d35aa817eb285c5365177d3273_146	0	
9f59d61c7fdb6cef24693e0a688cf2ed_135	0	
36758664940f256eb2b4daae926d7a99_134	0	
51b6ae48001a0c1c0012a41e17f26dbb_126	0	
1fc7f6de56b0a188734164e20297016a_123	0	
5fbee95ce272ae434f1ae57626a99ec5_116	0	
4c2903db8b3182ae2ba9f4171bfd854d_107	0	
799fe9f1dfac3ad6318754e856acb6fd_107	0	
