#sequence-name	taxid	genus-species
4adac0fd307e213f8b9927c6366a2381_1772675	0	Bos taurus
b53f05ee45f69a1a86beb1b24a1ee750_208084	0	Sus scrofa
9e28fd47d3954608744a43d9ec6656b2_41567	0	Huso dauricus
df041b5a244cf100ae3772f5b0bf738b_30097	0	Gallus gallus
abc30edb210ca5df6751c53f4f6b5a13_25918	0	Pleuronectes platessa
ae11a580e39ca9b937815db46559ff27_20964	0	Crocodylus niloticus
091e4e0f461c66fcc059be8fe8a67f5d_9691	0	Homo sapiens
44bbe4a3bbbaad076690ce975d093511_4541	0	Acipenser schrenckii
a98c779d7b4904a21e629917d8de7993_3919	0	Anguilla anguilla
3a04e89b2725ecedbec2d7e771c2433f_3622	0	Bos taurus
2628964c4997c9c482d8d76067065cee_2759	0	Bos taurus
8541b5f79a794578cc116c2a2c548a67_2015	0	Bos taurus
ab6ae2d00e4b2594837e15de39a7704d_1992	0	Bos taurus
a452c17101c594d2da49e811361c0110_1823	0	Gallus gallus
a2fa707d8c3f81c387083ffd27cb9b3a_1662	0	Canis lupus familiaris
758a7afe3bc03d383c0ae8f8305950ad_1313	0	Meleagris gallopavo
50cf57cf85b8ae8500c76b5fa9211dae_1192	0	Bos taurus
3d4e22146047f0c4aba31cbb19f6dd00_1115	0	
46c07a1411f5501de1edb953d6eb5a00_882	0	Bos taurus
e96f4376c27a542114c1f4932b5387cd_850	0	Homo sapiens
7ddd0d072954e722faa01511e758b69d_836	0	Bos taurus
b0ddd80b35625d06b5c7b06b5f2e05ca_816	0	Sus scrofa
c9cc5d3126c386d56051533bda299ce6_782	0	Bos taurus
1c165ccff7dd44326e1bb9c55605762a_637	0	Bos taurus
6aeacac22bd05ee68e88a2bdf671b4ad_627	0	Bos taurus
b8d9a2a7cb05e9447e62e111f1d46fed_625	0	Bos taurus
eaf56cf82378e18339e84fddabe703d2_607	0	Bos taurus
8ab6099e187dc6b52dfeb4ce25583bb8_577	0	Bos taurus
86a6504b23f26381153c01ed0a7f6407_542	0	Bos taurus
fca6e3a8e71ee8785707b864def8ab2a_517	0	Bos taurus
cce9fa9a5e381ede42878199f582a879_485	0	Bos taurus
dbdc3122eece607d10a62d60bc6a0660_440	0	
45d43aa05293b87d66588f39753bef3f_431	0	Bos taurus
78bf6bb88a856485198c5edc5fecf8fd_422	0	Bos taurus
0febc49029be2388a97000a457c8f810_420	0	
75b538a8e78c1456be16299c8dd6bb1f_417	0	
1fb02b84e8d7d1f3e3c1b53260b39d16_416	0	Bos taurus
e2f6572e233cc510a88fc836b44a52be_392	0	Rattus norvegicus
4c7cb3f1d50c21516f5ac68a597fb0d3_386	0	Gallus gallus
b1840688e3c717d7f15db05d9e20ffb0_372	0	Bos taurus
9a6b0d001c4944fda7cc918350238e84_367	0	Bos taurus
0c1ab7567711123bb1bb9822aa103aaf_351	0	Bos taurus
cef2f522a825f8ccef92bc2aa5f8965f_351	0	Bos taurus
adb961ed989c48cb0913de4223aa6a26_348	0	Bos taurus
480869457c53a342762ebd1d710c58d0_345	0	Bos taurus
500a9df452c2dbe9553ebe04e130a456_336	0	Gallus gallus
3ae3c29962b71be35348dda2c23de8cf_326	0	Rattus tanezumi
e8110fb8ba15e12bbc7ccdc2101e5b21_326	0	Homo sapiens
e2578df701217ea43357a6f6f9825674_323	0	Homo sapiens
1e886fcecb3a355be24836ed7c3c11b3_271	0	
58285a757b8287d1f3ac13cfdb11bf2d_248	0	Crocodylus niloticus
1deab3c03892083bb63d689f2a9a928b_242	0	Bos taurus
809438a0e160e1d8fae8158ac0a5efed_241	0	
06ee3bae6154377a8186a8adb6323ae5_230	0	Bos taurus
1adc8a7753a976d5bb8072516bc0fbb7_227	0	
6f572ab51bd2be7ae10834c11f56b729_225	0	Bos taurus
6d06890638e59f6fc514137c9ffe4b64_225	0	Gallus gallus
50c4ac13eab6d321e133ac823a4a7028_221	0	Bos taurus
13235286dfb25f1a309daad4a4e441e9_204	0	Bos taurus
04dc2b883ec42357e25b80356c6bde21_191	0	
d388f5e9ff2f261b9bced00cf163387e_190	0	
709c6801af0e4096e2774f6f728d3b7a_171	0	Homo sapiens
a25d1c116b95f964263f6ba2b2d2b454_171	0	Homo sapiens
2f7e4c463b3f2057582535faa4b38d11_165	0	Sus scrofa
47f98c925d4f2f8e66d3b7ddb44b2cc5_159	0	Sus scrofa
b3391ac0ff2820f02e814b1d2fcff371_158	0	Bos taurus
998798324f6c816994e05d9ff631e968_151	0	Bos taurus
8af83426e894bb22c97759cbe0af44ca_146	0	Homo sapiens
00cdc4a6fb803429af74ed8d115f6a07_139	0	
c49275ee6d1b1bd138ea03e10dcb4a9b_130	0	
82f4bcf0b0325091b1c54e49f6f21325_126	0	
dceb2c7b5078bc69cd0591b588040c65_123	0	Bos taurus
508dc17576c888cb2def1aafce1f3a0e_121	0	
1c4786f4aa00cb70ee07d803ca31be56_120	0	Bos taurus
32be1ab5cf153c48bca10831bda7f75c_119	0	Bos taurus
1fb9f6a7e96577fda3b065be0908c859_107	0	
c77907e67a1cbbe98fc451f6bc796c3f_106	0	Bos taurus
bb13203882bfa067c40bb0caf31d8293_106	0	Bos taurus
d839a281322b9be678f7574c23465add_104	0	Homo sapiens
5ca29be7a6d0c3b74382fc3e193faf2d_104	0	Bos taurus
e7da79321d5243dbeff75b8afa57ec96_101	0	
f67185c83dc0e2dc674cf7814b130115_101	0	Bos taurus
f011199a585f44a82c653150381f449f_101	0	Bos taurus
3165e889a2335a1fe05a395e400ca988_101	0	Bos taurus
