#sequence-name	taxid	genus-species
a3612a98863d0cb2a0423fb56a0bef70_301769	0	Bos taurus
16a928acd0edd8ec42e8052b1df49aeb_175013	0	Bos taurus
747bced7c0e753afc0b9aad225337222_24929	0	Sus scrofa
8f9a7eb4088cc65d88f2af4f3edd1478_22672	0	Pleuronectes platessa
9fc14d73e4f8750953c380afb9b7ded3_17772	0	Pieris brassicae
f8eea9e27f84cb73ff55d8b5c5164a86_12500	0	Huso dauricus
12bc03e85da43a533ff09badfef93f03_5592	0	
d3818391d7f0c7a44c0f4151474788c2_2712	0	
58ac579fa472225ff5c0a706825e1c7f_2055	0	
edd50165a27cbccef564d78ce131353f_1377	0	
23a9537530d447279eb0cfce58494a44_1221	0	Bos taurus
ee586b7538e26da10640944940dd1b79_1116	0	
4f8e17955a61a2ff58533b9c16d37b44_972	0	Bos taurus
d006fd3f39d6aa957215d64c0e5d689c_912	0	Gallus gallus
78d1862781122a6ed4d0af436d1feb2a_911	0	Pieris brassicae
4ff81cb09f0045f7b431f205c63a8f09_773	0	
5d9eef7c82e34eb0c77344ac85fa21b3_736	0	
8a579448eb4bf514d3e679d48ae02f18_603	0	Acipenser schrenckii
4916354e10b56f01558cec61ea960e29_225	0	
bd77fe9ab616b1d87c7562b8ebf375aa_137	0	
754b70bb7087c7307a39b7987d9a15ce_117	0	
4ddee7c85b1283ab771607509fcd1e01_104	0	
