#sequence-name	taxid	genus-species
00d5fa07251327e00bd03173b83a1359_270547	0	Bos taurus
1e3abe03af7a234f0a1cb0abad3f4fcc_199455	0	Sus scrofa
ab04dec293d600ef32ba77a58ec62188_108503	0	Bos taurus
ea1e7504a9bfd4b85d9bf8d84fedd771_80494	0	Crocodylus niloticus
96004b208385c57153e6ae9e686d8d5f_32707	0	Huso dauricus
5577095a2f63965ac4064ed04def03b2_31722	0	Gallus gallus
22ffc0dc1a004b57d03ba2ea18c6ec49_6907	0	Meleagris gallopavo
b8032f18c5cd4e017476f12f21841289_2053	0	Anguilla anguilla
0222d0f1f6b58829d63c520958f25cd9_1547	0	Acipenser schrenckii
93c71b0ea411c4d793a9924277dce8b1_1331	0	Homo sapiens
de48362a9fb34b69b405922e7b552fe2_797	0	Bos taurus
5c8fe4826adbb84d45cd421ada1913cb_757	0	Bos taurus
03a43c580226a12589bf214cff0b7a80_368	0	
a4e32a3ba51c6e18a9816950ec3e21e2_336	0	Crocodylus niloticus
a0ad81af290eaaf6190284643a01f41e_224	0	
f58837b20a3c69da39d23ca78f787d4d_105	0	Homo sapiens
26eb46be520238e09356961c336294fd_102	0	Bos taurus
