#sequence-name	taxid	genus-species
aa3b87f7baace00faf4fb3f9e6184e66_1263162	0	Brassica oleracea
f83a64f2028cfd1d52872ae38a20589a_650120	0	Lactuca sativa
5deca0ed809074c3029202b376ea9a51_295388	0	Cullen corylifolium
5ffa94df4a537ecfe189a340d25fd3d6_162476	0	Brassica oleracea
2973c3ff292fa48b6fdd7492bf40fc89_126584	0	Epimedium chlorandrum;Epimedium ilicifolium;Epimedium mikinorii;Epimedium pseudowushanense;Epimedium wushanense
79dec61e7bfc4d49f605e93b62b9c90a_120584	0	Aloe variegata
73c1e1d04644b744e5fbc8d736c7c3e6_94461	0	Meliaceae sp.
90901b4566fc517b9b00a0fa8dc44145_92540	0	Astragalus adsurgens;Astragalus inopinatus;Astragalus laxmannii
47ed0c981ad531057e5f198a495cc4f0_79409	0	Panax ginseng
46b4e4167e005ffa21ae9d2e1b665952_48265	0	Brassica oleracea
8d30b7563d89cfb8c1b52a9642f62621_46722	0	Brassica juncea;Brassica nigra
aead7b7d97e3fdeebb121ac6e8532301_30778	0	Dendrobium sp.
96f6d840c6574b86fd01d9b56f6cf9d5_27540	0	Eleutherococcus senticosus
2891b1b9efdb8bbedf329c9d36045459_21514	0	Cullen
3607b6f7bf7b1952401b6ff4a5cbb4e1_20608	0	Croton
4e144d8c47742bc8d3a000553b879230_13846	0	Euphorbia;Panax ginseng
87fc74faf19a998276570887839e7c71_13427	0	Cullen
5154828660ce7692f102b1ed35ed0093_12601	0	
db42e72ffd9181d3f376948b7880f132_9575	0	Apiaceae (misc)
b5db579f92783cdaa011fffdb7b741f4_8211	0	Brassica oleracea;Brassicaceae (misc)
914ebed57dcb8282a86d7ae64df1a8e9_7710	0	Cycas revoluta
7ba1e1489a481f2751da31125c9fc7e5_7690	0	Meliaceae sp.
17542ac2d07c88ba19ee0e775d00c42f_7653	0	Epimedium chlorandrum;Epimedium ilicifolium;Epimedium mikinorii;Epimedium pseudowushanense;Epimedium wushanense
9261fd9067a24f06159375fc19b60dc0_7276	0	Brassica juncea;Brassica nigra
35a92e3697ab75abf00aa6c23503deed_6224	0	Solanum lycopersicum
953dc027a22ca21cf450bd87e0c7dbca_6173	0	Arecaceae (misc)
56e132a48aa1d8ebd9b5feda6b063dfe_5967	0	Lactuca tatarica
52a9915e7c460ff4763953ba5333632a_4599	0	Meliaceae sp.
608a2f2b71c4659695fdf0c542512e51_4574	0	Glycine max
7d504d3e093d0a24d460c8da1575d313_4432	0	Epimedium chlorandrum;Epimedium ilicifolium;Epimedium mikinorii;Epimedium pseudowushanense;Epimedium wushanense
6a53e2caf1dcce2ce6afe5adfbf5644d_4331	0	Brassicaceae (misc)
73e8cb2f57558bb654540a1895e6d2bd_4087	0	Gossypium hirsutum
d90fb149c900dd2aa024f2536d7df0ae_3821	0	Brassicaceae (misc)
a60bd6384167f103941896b0d2f0658f_3721	0	
8f8e29899bc249231b8b17dcfc1b5b7a_3485	0	Brassicaceae (misc)
f5f357ea90aa10f4826b4e049886eeaa_3395	0	
3722dd9516d4d9a8db2890c4e6646443_3202	0	
2e80b419732c62bd07606c254a5abbd8_3157	0	
6b201fe760e819bef3ca7895703332c5_3065	0	
ed38dd262c08d84823579ae5164508d9_2955	0	Panax ginseng
8b64becda017d5799e1a2b6a60058d1a_2740	0	
369b6f3f64b4f913a1d6f1d3129cb107_2726	0	Eleutherococcus senticosus
cede14821ea9cce5cfe883f243f6684d_2709	0	Carica papaya
e5b4e1bdae8180b99e8ba5d48f449519_2696	0	Cactaceae (misc)
017b0777ef58f4eca1cc37a509d53089_2434	0	Lactuca tatarica
848b29563f44fdea9eb2cca488bb582c_2212	0	Brassica oleracea
9958b2638dd91b6e248e4d548967f31d_2174	0	
ff47f887dcfbb888fdd806e94465149a_2123	0	Cullen corylifolium
e22e483c53825d611ed98500719fed54_2107	0	Cullen
4f32e2a5edd4826091170dabaee6ba35_1941	0	
51301cd4cc5e0bb33cd1a39f2f9d9d94_1853	0	Lactuca sativa
fe6e1403c4b31eea3ab199269e254c5f_1814	0	Lactuca sativa
02ce5c84552aa28c7972fba147d9a9c3_1764	0	
3e2e583863852e30b36e18b0ab9653de_1695	0	Panax ginseng
8b0da651a07e5520c0135b040583b06c_1659	0	Panax ginseng
0a8f1a0301e5d32cc66a45f287772608_1614	0	
3d5dab98c7382c4974d9a93f6db80a19_1535	0	Brassicaceae (misc)
