#sequence-name	taxid	genus-species
ee3160084ec9b790250c2327a3308deb_1968360	0	Brassica oleracea
7efade5aeb4841ea5509d33c6629f1da_636097	0	Lactuca sativa
0792ffe2f71ee2f9b04d1d19103ae689_397860	0	Cullen sp.
db80b725fc1a344b1ad05d8bd69e81f4_244013	0	Epimedium sp.
884f9ecc935a3b5c89b1acdb92c45549_163840	0	Panax ginseng
ea2d28856369e2774530a1abe1c11cb0_123092	0	Astragalus
bf932e21c9c444d8ff18d86c980d9f78_120608	0	Ligusticum
1970d1c2fba0aa70a92d6d2da0276440_118886	0	Turnera diffusa
b86913ff07d33e87716241205570caba_99137	0	Xylocarpus
11d3352a74a91357268254788d942cf6_86437	0	Dendrobium sp.
2ca0a59b8d9a35908483c7eb07b30131_69769	0	Aloe reynoldsii
a1b4cd9ac845dfb205f8bfd992146a68_51481	0	Aloe reynoldsii;Aloidendron
66efba36fecdd8f798f17165b9379ab4_39564	0	Brassica oleracea
07b79dfa2f32a4acdc37c05617107d6c_31967	0	Croton
19ad77966d5c8029b03a261418b1501b_16001	0	Brassica oleracea
d63f19eadc2d0d05e5bbb43e13f9bac3_14793	0	Panax ginseng
a81b9755e3ec50e27b053aa60d71826b_10854	0	Cullen sp.
1f429bb6d8ff7d1c02cd521e5c34de6a_9904	0	Brassica oleracea
6b0ac72ea1c4ac5ffca4eb537309a884_9598	0	Aloidendron
a060b8e10dee8422a9a990d4ff8ab8b4_9325	0	Euphorbia sp.
8c2f2fb62226e3c50f3ed6e1ac4a28bf_8852	0	Vangueria
ec1f10e20eb81c9ad69c67ea7a6b5b79_8161	0	Solanum lycopersicum
5e9cee3db23f04f54d9c6e3ea8194c54_6230	0	Lactuca sativa
d277001c2621c5866ab881c7343060bd_5435	0	Rubus sp.
648b9d1b8b78f88238a691d3f14235c5_4558	0	Gossypium hirsutum
09ac602428c15742004df44e45c5a859_4544	0	Euphorbia sp.
a7b466a1a569f4a96fb0d12d0539fdfd_4095	0	Carica papaya
ef45746f1c0d90e4bcfd3a7900806303_2601	0	Cycas revoluta
160c6c23ac35ecc1f0d63ce3c703fb2f_2437	0	Aloe reynoldsii
5b85d52057cdd4306fbf89cfadb524f8_1988	0	Lactuca sativa
a2e76a45596df4e24b7fc0bf424bf074_1856	0	Sanguisorba officinalis
400b097cecb1dcf7251352893461973c_1661	0	Brassica oleracea
38c14200a0cb0cf98dc5653a1dfcbddb_1589	0	Turnera diffusa
a1349040c585f287f4622efe3a0a5948_1558	0	Brassica oleracea
c099fdd011e0ecbab3335952522cc126_1529	0	Cullen sp.
2613b87c53833590bd156405d460d7c4_1512	0	
eb9b6150fea9ac3ebaa464ac4792e379_1436	0	Astragalus
46a3fda1ff21ef5526351fc240ee223c_1436	0	Serenoa repens
6d9aa06c7c67f3029c78d9d4153b987f_1210	0	Brassica oleracea
1ca8860a2cc6f4efec74b248f69251e3_1166	0	Panax ginseng
8bca2bca6d14d5b6c609c5f9ea621354_1110	0	Brassica oleracea
da11a4fa580baa8322044add1996d318_1044	0	Cullen sp.
e620274a1de57e3838d772fb32454a3b_1025	0	Cullen sp.
ca62de98fd9421f9d62b37a6e5be5274_980	0	Cullen sp.
da818427504226672502bc18b9dc7987_955	0	Brassica oleracea
c8954bb5be557b495f5308e9e4ae72fe_954	0	Dendrobium sp.
aebe697c24786395a434060041a39136_910	0	
b783caea66237c75b30c9dbf182a1ea6_880	0	
c2430c30d3faec9f07b53cbfbed9e735_868	0	
f1e3ce7560a7c09825e4d71332c3fe5b_829	0	Brassica oleracea
417d885c2aa387f0851953b9a6ead023_782	0	Cullen sp.
b66943f6661f04b58fe6ca116ce343d6_777	0	Brahea
99fb3f12634079e083e3be086b969135_755	0	Panax ginseng
dd11b54142fe16ea5265bcfd1aa05203_752	0	Epimedium sp.
47e160c19d529b721665f3e18798bfca_738	0	Xylocarpus
bb92349376b6356c56a560276c65a04f_721	0	Epimedium sp.
2ade060846e0330387614174a4bd3ac8_717	0	Bupleurum
d7529738862670674b6df98760229fdf_646	0	
eb5080793243aa45ec6e8da16bc2d0be_641	0	
e5779d276ecd7b7a574ea98eab612cb5_632	0	
ef5debd1cdb8e5749bf4f4bfde9b20d3_620	0	Cullen sp.
1fd3799a7f1cdfcd62af080002e0c406_601	0	Cullen sp.
e5cd8419d4f986974b9b354eed232d45_590	0	Panax ginseng
e94bc2b3e47ce0e20807c927e8b91f18_590	0	Cullen sp.
f3f2a3e2727dc68efa54c0b05ba8d5fe_499	0	Panax
73acabc1523c8d8df80d095066a0845d_495	0	Baccharis
f58cbafa963dde473240498717f350af_475	0	Cullen sp.
474a8e8c71b883f03ada6a12a1fc39b7_464	0	Lactuca sativa
bbc1c92bd3f028cdc425d3d8ea24d48c_461	0	
2c5a26d6b3046a0d0ae4aa4973672f80_440	0	Ligusticum
f0656b360846aebdac6f240c18872feb_440	0	Epimedium sp.
7850a407fb985e189ca0c3b480c357aa_434	0	Cullen sp.
3ec12646f154e01887038cad9977835c_426	0	
1201e93a5e7f8bee4e736f07ad7fce89_423	0	Agrostidinae (misc)
e47c9560298e28ad8394e2392a80e524_418	0	
474ab9053629071fd55b0e7687f6c278_414	0	Xylocarpus
679cabcce35658e67e151f600233076e_395	0	
5992cf5bae760cdb6eee687e01c02f40_388	0	Cullen sp.
4e15c890afe8e5445327b4f513811f7d_384	0	Ligusticum
bc9fd40afb7b5d33aa52aa586691cb1d_375	0	Melilotus officinalis
edba1371740f12006f6640cf29875e37_366	0	Aloe reynoldsii;Aloidendron
141314d3f3c21051b50218d53225ce2a_360	0	
556e0f8656846085fc634f2f3690aa8e_352	0	
d1f237294ecd8eeba24aad40e6b1373a_336	0	
c9d13d4b8aeb673065b044f389ab8897_312	0	
8add0f78c941768158566e363dc60889_296	0	Medicago
ad1a9e25d01febfa994a58de25ede907_287	0	Cullen sp.
1a8a92fa0d15b41d49af890315f0913f_282	0	Cullen sp.
6a3f57e9c758b29e914c6837f770f782_262	0	Cullen sp.
3fb7b4cc852050c59cbe745ab9872f9e_261	0	Lactuca sativa
bfe3774f12db522cd44bce3e8a9d45d9_254	0	Panax ginseng
b6f8fb93ccb4a7b9096fb55acfa7ed17_253	0	Lactuca sativa
4aaa7f7f77c88e1dd8d798cf00fcb1c4_248	0	Panax ginseng
52785ae82e0f51587627dc4400fd1d5f_247	0	
9fed68a19ec3ad63d3e2e83ec2ecf05f_247	0	
69c33840376e52f69191f04e314953f6_245	0	
e4a1f5a89ef9672263ba76526fc63f0a_241	0	Lactuca sativa
a87c029a3be0b873e02a889bb3f6cf10_240	0	Brassica oleracea
dfc8136afd0eda1e0eb8c2d46c8581d7_237	0	Epimedium sp.
d69ac7140127f3d9daf1b49bf8dee468_228	0	Lactuca sativa
01147bcf155918d0eed20437ced4f71a_225	0	Panax ginseng
d64d28157bba583477f00a7455d67d8f_217	0	Cullen sp.
336aec7aa7b1aa80ea7f849d87d6865d_215	0	Epimedium sp.
ef9fcebe027ee589af0b8a7932ef3738_208	0	Brassica oleracea
6e4f0aa5238684dc98caab01a86ec7da_208	0	Xylocarpus
9ec52387801d1452110d4f38e6570186_206	0	
ea84b5a2b4c5708f861fb6545d6baaaf_195	0	Cullen sp.
605434ea54e49b400b589a32ae4bc536_190	0	Baccharis
1639d8c0064b8c1eafaa09d65784a010_189	0	
bf6bdf8c901d30d3b4bf2a1277917bdd_187	0	Panax ginseng
b53ae64ee3680426f03ea4df0c3810cd_184	0	Epimedium sp.
0044dea2c887f49686d8a386d27e5669_182	0	Panax ginseng
dd42062cd5a5931f24cd02061176cee5_182	0	
b8901ea0be930c5b690392371bca521f_175	0	Aloe reynoldsii
20ea8071d4853d0048c3b5546370f729_174	0	Aloidendron
e0ebe1c3b54149ec8697fa4ad65dce08_171	0	Ligusticum
1f0ec47ecdd4fb7cc5647b2ebceb7547_171	0	Astragalus
b5a548670298ceecc2ca07adbcd760c5_167	0	Epimedium sp.
793d6c10b91405eac8fdbabfbb7a8e1a_166	0	Xylocarpus
d249795dc2ac1bd65272cb485f0432d6_163	0	Panax ginseng
da6b5960c48ea5d03bf1b4c410b3cf05_160	0	Xylocarpus
b4cb7509733f2841524dfedda823f7b8_156	0	Panax ginseng
1c4153c4789c2d4dad8578ac99246f31_148	0	Panax ginseng
a415c045d5c791928ec7d044139e8f49_146	0	
459d0f66fdc8c98d40cab0e91ae98d0d_145	0	Cullen sp.
5a42134378261072ba68ed3549163e3c_142	0	Cullen sp.
27a5f2649da300223888defbb130306a_137	0	Cullen sp.
27fd12799c1b9718b34b0ed28a765d71_136	0	Epimedium sp.
a159e49d4d71d6fb8002245f448b5de3_134	0	
c7c50c14aed5a7c917e36b1498883a0a_132	0	Cullen sp.
49cd45e1256ceb98210a1397827b02eb_132	0	Cullen sp.
7fa10ef54303d3b7e3258e476ecec328_131	0	
59ff09eb06212b5b32337a3799c4d78a_131	0	
509a415130f5afd8aba3ca888676f742_130	0	Aloidendron
36dd059f63eea5f8a9b207754cd70351_128	0	Cullen sp.
11646497ebb348eabc581ab1631a0a9d_128	0	Epimedium sp.
e08daaf442a84003035339f6305cd114_127	0	Epimedium sp.
23d5eee4afe06b25255aa496b10f02fb_126	0	Cullen sp.
d4504b8f7b3a9cbad6ba244b4fc84ad3_124	0	Panax ginseng
1642056bb875c9788f74a47e79e0adb2_123	0	Cullen sp.
589bd3ef88f134d3a3499993b499f52b_123	0	
fdaf49f7f73c477ca56dbd11bfac2eb6_122	0	
4fa61049c8ee5462f5b0e4696a87440f_122	0	Cullen sp.
e8bf0ac192af979a7115c283a3ba9340_121	0	Cullen sp.
62a9528538dd80f7afbec8c26af7e18b_120	0	
a44dfaf59dfc05ca955c19bce72f9be5_120	0	
4e905e72efaf1d8e90b193b396c4c87a_118	0	Cullen sp.
116c7154652bdfd9d29fcfa422a04bd8_117	0	Panax ginseng
dcc6a9da6e0d61caa3d854b9c61b42f4_117	0	Panax ginseng
cab3dcecd05b842e1a5de65905a8c432_117	0	Aloe reynoldsii;Aloidendron
8749f47f725a6eba9651806dbafde204_117	0	Epimedium sp.
2ca9acdfadc51739c43be898d78b63a6_115	0	Lactuca sativa
da83171b756f103308515c0d2d2c3238_115	0	Cullen sp.
e38584bb8d3898556fcb93a1b1595c82_115	0	Cullen sp.
32dcf4cc6e00f26d3aa2a3bfed04ccb0_113	0	Turnera diffusa
887f10af0ad3311e1e8d0125a29074ae_112	0	Xylocarpus
2a32914c86165112eb6e532316a4be91_111	0	Cullen sp.
0b6f0e1af9482a972387e6a83b35bca3_110	0	Lactuca sativa
ce418c0c5d0874040a132a508440b761_110	0	
a26d771e48c75c4eea77fbfcd27cb68e_109	0	Lactuca sativa
67c4e59a1493678437b8f339c4e137b7_109	0	Xylocarpus
e3877b898c705301e89c8959263c8e94_108	0	
b3cda1d9e9bd2abbd53452d7112c1ea3_107	0	Brassica oleracea
7dcc8e2f4345ab5c6d0e81152daa5a33_107	0	
603fad149556c8d5e0154a242e4a28ee_105	0	Cullen sp.
fb62719162eee62236eb491751a49f53_105	0	Aloe reynoldsii;Aloidendron
24d15e5665007e88a086a5bfca808689_104	0	Cullen sp.
e09319f320e8b3f331d9a549120e8834_104	0	Epimedium sp.
775822b69da9b3e90ecdcf1e21132be2_103	0	Lactuca sativa
7f3055beb9b4e86719dbcacd2ba2b916_103	0	Panax ginseng
baae96418527af764211648fb5409861_102	0	Cullen sp.
594b572f9c86447b3aef90ff976dcef1_102	0	Panax ginseng
