run_accession	library_name	run_alias	fastq_md5	fastq_ftp
SRR10198789	COTO_1_192_10	COTO_1_192_CO1_Rep10_S74_L001_R1_001.fastq	333adb5a817fd9f1c1db5e2fb5b36908;d489ade8f35df4fc5576476b5b86c2c4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/089/SRR10198789/SRR10198789_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/089/SRR10198789/SRR10198789_2.fastq.gz
SRR10198790	COTO_1_192_9	COTO_1_192_CO1_Rep9_S115_L001_R1_001.fastq	fd9014206c8ec189713564101eede7e7;c087d20c0fb7b9a83ff3763cb8d8c070	ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/090/SRR10198790/SRR10198790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/090/SRR10198790/SRR10198790_2.fastq.gz
SRR10198791	COTO_1_192_8	COTO_1_192_CO1_Rep8 _S114_L001_R2_001.fastq	44217480d3f348123a5d4e2a67279a00;06506bf8600c2b65ab53fa8de25c4db8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/091/SRR10198791/SRR10198791_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/091/SRR10198791/SRR10198791_2.fastq.gz
SRR10198792	COTO_1_192_7	COTO_1_192_CO1_Rep7_S113_L001_R1_001.fastq	d24301fddcb8596f5875460d03ed1340;29f3b1a94400ce64f12a93919f54022e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/092/SRR10198792/SRR10198792_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/092/SRR10198792/SRR10198792_2.fastq.gz
SRR10198793	TABR_1_64_10	TABR_1_64_CO1_Rep10_S94_L001_R1_001.fastq	4b77bc41267ba2602a0d5b33a1ddcc54;dd0ee616a055f1e5d74dde3766cfbb89	ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/093/SRR10198793/SRR10198793_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/093/SRR10198793/SRR10198793_2.fastq.gz
SRR10198794	TABR_1_64_9	TABR_1_64_CO1_Rep9_S93_L001_R1_001.fastq	d541d991a5cfb13f9bca0ef8840160b6;412521fd804a4225ad6754066cbe6961	ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/094/SRR10198794/SRR10198794_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/094/SRR10198794/SRR10198794_2.fastq.gz
SRR10198795	TABR_1_64_8	TABR_1_64_CO1_Rep8_S182_L001_R1_001.fastq	04d5721bd813bd034c0e0472e7815183;e936c746566af22b2dded6b5368df3fa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/095/SRR10198795/SRR10198795_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/095/SRR10198795/SRR10198795_2.fastq.gz
SRR10198796	TABR_1_64_7	TABR_1_64_CO1_Rep7_S92_L001_R1_001.fastq	27af537adc490ec2a117f9751fe05952;4773a82f95dce3b806b1a37ed4f49620	ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/096/SRR10198796/SRR10198796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/096/SRR10198796/SRR10198796_2.fastq.gz
SRR10198797	TABR_1_64_6	TABR_1_64_CO1_Rep6_S181_L001_R1_001.fastq	7d9c06cc1dc623ef8b0b5b50b3750ebf;63bd07c1830a4dfe61e06629aa06a5a7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/097/SRR10198797/SRR10198797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/097/SRR10198797/SRR10198797_2.fastq.gz
SRR10198798	COTO_1_64_3	COTO_1_64_CO1_Rep3_S62_L001_R1_001.fastq	7ad8e215aa883e4ac32d86755fd53a9a;d99b4fcc4f5e9c0ef6171a6342417ac1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/098/SRR10198798/SRR10198798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/098/SRR10198798/SRR10198798_2.fastq.gz
SRR10198799	COTO_1_64_2	COTO_1_64_CO1_Rep2_S61_L001_R1_001.fastq	070b26063ade0caa3d13a3c1fe02243f;c5145fb02a6460443440f19459c10993	ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/099/SRR10198799/SRR10198799_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/099/SRR10198799/SRR10198799_2.fastq.gz
