#sequence-name	taxid	genus-species
cff0e1d273b58f34a2a06563c226d095_369434	0	Corynorhinus townsendii
f4c485a2970c4723639b8933d027bb44_284937	0	Eptesicus fuscus
12ac189ffb45aae6bded7391fa51adec_209953	0	Tadarida brasiliensis
2d5ef3c1117a00cdae7c083d9e01d769_203461	0	Corynorhinus townsendii
a759f9d20e134bd438138315d57d474f_139794	0	
f772193136c92a5b1448d39446e92fce_82057	0	Eptesicus fuscus
79b29d7e8bd11c10058769d4e59bd513_67408	0	
08be716747cf4cdd72131eb990911dfe_24376	0	
c189ceeb81283c2e050be32e0a270f51_22521	0	Eptesicus fuscus
ee6ba361527080c5c1d72a4f3b8427dc_8095	0	
682443e581ccc5fdacdb77602ec78533_7379	0	
af403540f6bc3dafa7123f754066a5a2_7059	0	
6aa63310f98f5bfa841bc1e66966db3b_4576	0	
928d2e68484686343dd967996db86227_4504	0	
24607115425a5b2cc0dafcec436500d2_3987	0	
b5d0fc54413e15ce838cd1a3c383335b_3679	0	
596a5a0607dd9f7a1f87c3b95d8570fb_3455	0	
09d705d064781c6e8d9f18ea3644433d_3235	0	
c681e3f9e1b75674c906148bd5f6a4ea_3037	0	
ac7347147673b9b93c0b77a05ed0da3d_2918	0	
517a6981f8ad78cf6e0ef7eaf83ebc30_2577	0	
28893c56fca45d79f1ffc369bede2d70_2521	0	
30916a4a7d0be600f4206b4e4cecd81a_2217	0	
44530790e6e098d681907f6c102b2946_2090	0	
4ff3762cec1b450cd91eeb85aa3979ed_2031	0	
02ff9b3ebb141812f9ee397cd6d54b3d_1999	0	
ae160827580d0fb4cd128d5dca2df474_1770	0	
a7fa784518b799e3b937fd24049c064a_1765	0	
3bb535da2104384334dc618a15b0de65_1670	0	Eptesicus fuscus
280479cb3126ba6c4886b5523c166338_1556	0	
99425551dca9d2ad64cd3bc5cceae86e_1506	0	
581881435bfdae054c3b9eb3548ffb95_1387	0	
b0b0be73721983227909b7614d250daf_1379	0	Eptesicus fuscus
7f63bd00e32bc52ad97aed9168030d1f_1237	0	Eptesicus fuscus
7c971b8b8eaff14f6204291cbd7eff2f_1132	0	
1e83d75c628951b171a03783e901e162_1089	0	
79ba762d1687e7e76e4f69f9f3e5e710_1075	0	
014b79d9f752e8646a64218ad0dc86d9_1069	0	
9fd2fbfe874fbadced884555480cda8d_1011	0	
4af09f2311df2498d9e1ee8319903097_914	0	
9434df6be7e505baf0f2c19e9c157619_800	0	
c895782f7d50e4dee75621b085165e14_777	0	
fa56a201530842ed1e50e207297c1fd4_751	0	
7e39932814c094f280eb0b451d023a96_716	0	
44f5c82757e33fb2a299524df51dbdd2_674	0	
a8ad6535b9ea9c2d323c0a134bbb58c6_574	0	
63e0708aee8804fd6219ea56834a2d57_568	0	
41646ad206fbc6bb03c3f29d281113b1_560	0	
80196046a35db7f9e2a1a1629e24c400_526	0	
cd23c5d75130ceb068a8078af4bdf162_517	0	
9235dc3918e1c287d6850e7377f3c9bc_515	0	
abf57ae396449fb9e0fd99d7328193f2_491	0	
738d133db18d7a389a5819083ca6d4c5_484	0	
b7083b0b433c8b672ae79839a11967a5_477	0	
5a9598b00aef352ee3e9b67a981cabd9_473	0	
d4852d528e4264d0037110c08771e8f1_465	0	
6d9aaa2633c02d88cc5ca20da54123be_463	0	
4186e9e920777c847e672cf91967834d_452	0	
bf6b94e30285e610caaec67551e69064_430	0	
d519e5f89bb5e996a705f9503ba3f24a_430	0	
101a943b0a1b5e6d6b9722eda75d98e2_428	0	
61530c001beb2cd162eaff4b323b6f0b_409	0	
49b4e28c645fbd5d6f1568f603b966ae_404	0	
c763d064a96da40c1dd367b68ef410d2_403	0	
cdecff7d8c6d9e1e64b5d7aaf88cc7c1_403	0	
521de95e70fb3718066ff9544220e260_397	0	
cda82d5973399859e94659fe210c2dd8_390	0	
be30f3bb6d11fbc26820bdfb3a5ebad8_389	0	
cd34d58cd85d07260ffcccaa5f260477_379	0	
2f774fb222749d0b54d2fc6ca6cf6125_377	0	
8d0e4cc8de21044c57c298c8596370f1_372	0	
21093e795431fcc263bba398bc951744_363	0	
ccfdf362ee2ea5d67556de99b9d21fd0_358	0	
a70859534171cf07e84a75a182511629_355	0	
d15bd5cbaac214b080540e2adf805efc_354	0	
bb05bed8e03bfab97541bc63ab1a9b8b_349	0	
20d3e92d56f63ca2b496077750b55a96_331	0	
dc0369b05bdf95170a0495a94b40701a_327	0	
c2926abdf80e4fcf65fc8a42a7d67647_325	0	
