run_accession	experiment_title	experiment_alias	run_alias	fastq_md5	fastq_ftp
SRR5314314	Illumina MiSeq sequencing; negative control from PCR step; standard workflow	NegPCRB	NegPCRB_S104_L001_R1_001.fastq.gz	8a186b6422c7ed67e3003e0de24cf8a2;ac59274f08c97ad5d4b8c92038b69725	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/004/SRR5314314/SRR5314314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/004/SRR5314314/SRR5314314_2.fastq.gz
SRR5314315	Illumina MiSeq sequencing; negative control from PCR step; standard workflow	NegPCRA	NegPCRA_S187_L001_R1_001.fastq.gz	c348a49e5ef28027f5f1aec6d0f777e4;d484fe159b0ea1f58780a38da371e976	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/005/SRR5314315/SRR5314315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/005/SRR5314315/SRR5314315_2.fastq.gz
SRR5314316	Illumina MiSeq sequencing; negative control from DNA extraction; standard workflow	NegDNAB	NegDNAB_S175_L001_R2_001.fastq.gz	df23843155500f9610e6f0d4f992ef8a;35de257fea8e0cf3a21fc3a6ede829f6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/006/SRR5314316/SRR5314316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/006/SRR5314316/SRR5314316_2.fastq.gz
SRR5314317	Illumina MiSeq sequencing; negative control from DNA extraction; standard workflow	NegDNAA	NegDNAA_S163_L001_R1_001.fastq.gz	63e7af71781c2f14806ef12750c7bc32;eca9b4335e4a08f525ecf979d7ad18ed	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/007/SRR5314317/SRR5314317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/007/SRR5314317/SRR5314317_2.fastq.gz
SRR5314331	Illumina MiSeq sequencing; fungal mock community; even; standard workflow	FMockE3	FMockE3_S176_L001_R2_001.fastq.gz	2cfb079e5d9173808a05d28e18368ed7;6faa3ff22b3f80c47e66286b46753761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/001/SRR5314331/SRR5314331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/001/SRR5314331/SRR5314331_2.fastq.gz
SRR5314332	Illumina MiSeq sequencing; fungal mock community; even; standard workflow	FMockE2	FMockE2_S164_L001_R1_001.fastq.gz	f1d7750ea71bb127fbf79140adbb06d4;62ae24e421893c20689be5d2206cc7cd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/002/SRR5314332/SRR5314332_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/002/SRR5314332/SRR5314332_2.fastq.gz
SRR5314333	Illumina MiSeq sequencing; fungal mock community; even; standard workflow	FMockE1	FMockE1_S152_L001_R1_001.fastq.gz	ecc77270dd83435de2f702be75c314d7;f612742746146e2ced96cd5ba1281417	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/003/SRR5314333/SRR5314333_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/003/SRR5314333/SRR5314333_2.fastq.gz
SRR5314334	Illumina MiSeq sequencing; fungal mock community; even; long PCR extension time	FMockE_LE3	FMockE.LE3_S189_L001_R2_001.fastq.gz	1430391b861c33dc0fd6d71818aa7beb;75c87c95c8a06946b17622387d819542	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/004/SRR5314334/SRR5314334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/004/SRR5314334/SRR5314334_2.fastq.gz
SRR5314335	Illumina MiSeq sequencing; fungal mock community; even; long PCR extension time	FMockE_LE2	FMockE.LE2_S177_L001_R1_001.fastq.gz	d36c8dbc3141dd129a8c898a04ac86ed;e40375b91dde1638899d67d93fa472ae	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/005/SRR5314335/SRR5314335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/005/SRR5314335/SRR5314335_2.fastq.gz
SRR5314336	Illumina MiSeq sequencing; fungal mock community; even; long PCR extension time	FMockE_LE1	FMockE.LE1_S165_L001_R1_001.fastq.gz	a536dbdc5fa8ad5c6225a1c569d32bf1;9c48968644489f9f682200a93656ce01	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/006/SRR5314336/SRR5314336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/006/SRR5314336/SRR5314336_2.fastq.gz
