#sequence-name	taxid	genus-species
275cb1864803eb66feb2ec7b316f5a2f_303553	0	Naganishia albida
1d95eaf5ba7187e330ebd3ded8a73b1e_156054	0	Saitoella complicata
bb28f2b57f8fddefe6e7b5d01eca8aea_152994	0	Fusarium oxysporum
8a55ce39dbcae323230ceaf28f3a24e3_59530	0	Alternaria alternata
d51507f661ebee38a85bec35b70b7ee1_47984	0	Fusarium graminearum
716f6111ac2ee192c23282e07d23078a_31294	0	Mortierella verticillata
d436d161d7ce60f0f2479e3336f032fb_22159	0	Fusarium oxysporum
69997d3de8466566fbe277c5bdb76de4_21875	0	Candida apicola
57da2fd614b08a484a9faa69a22be412_13517	0	Claviceps purpurea
a9881d80b46e7ce6fd40c8d47b4847b7_10501	0	Aspergillus flavus
5ff8070db9db78828fafe962f5d8271a_7509	0	Trichoderma reesei
66305c10976c425cc62345d57ca376b8_6216	0	Penicillium expansum
52cfc466bc4fec59fadfd8c5ecc1283d_5756	0	Naganishia albida
5ca0acd7dd9d76fdd32c61c13ca5c881_5747	0	
fcbccf9d3636bdcaf122196ed01a0cc2_4833	0	Neosartorya fischeri
30f0b89518a67c58d70f76ef1cb8064f_3969	0	Rhizoctonia solani
ee5382b80607f0f052a3ad3c4e87d0ce_2851	0	
2f684de5b0c851c01d0debdb934f60a8_1871	0	Naganishia albida
98e8256c57e4c87b0d583bb5a3be190e_1735	0	Saitoella complicata
8e74f38b058222c58943fc6211d277fe_1196	0	
dd4818e8b05808215db748ad71eeb21d_1102	0	Naganishia albida
85775735614d45d056ce5f1b67f8d2b2_1084	0	
cae29429b90fc6539c440a140494aa25_612	0	
83fa760171b632326c2062a476cf240d_605	0	Mortierella verticillata
4e13f9f05d1c58c004f4d58e2c7e883e_586	0	Naganishia albida
131466c229884ab976af3f6ea76540a2_565	0	Saitoella complicata
d1d35bb83e88c38234c56eded1e69e7b_560	0	
09aaa9b0eedac20be6555bf484858efe_462	0	
1ea41e3750fff204a35470d9bf6ab893_439	0	Claviceps purpurea
e88630d484e3fb5e412ba757d2aa3eba_407	0	Saitoella complicata
1ff951618cde4ab870d691a46ac46a6c_370	0	Naganishia albida
d9645b68f0cb645728439cd1c16c684d_370	0	Aspergillus flavus
995814d438d75f5751c0d6156f8957fb_355	0	Naganishia albida
855c7d0b0067df76452f73e8e49adda4_331	0	Trichoderma reesei
baafa5f3f317c22bb28dcf258b6660f1_325	0	Claviceps purpurea
5fe4d8b565e650415f6d72baeebdaaf7_294	0	Saitoella complicata
e055cb2efa2e1e0eb32d201e018b8609_284	0	
207d2b0fdd7001eee164877a24c0b83d_276	0	
880007c5a18be69c3f444efd144fc450_271	0	
053d0833e5c6c8fcd8426d9e921ea47f_266	0	
519cdb4ee34c2fa7d62147ca92418d1c_263	0	Aspergillus flavus
0d3fb55a74c298b3835b1dd69e3b7f9f_252	0	
e6b7830d75a614210695e6013adce32d_249	0	
96300ccf010a68b6b655391fa61d86cd_241	0	Saitoella complicata
c37d3a212caa3f2af93cff150b757dd4_239	0	Trichoderma reesei
d56211bab64d79866e668cc162f19492_224	0	
a5843001e29a7049980a79dddb4042b4_221	0	
e0785940f3025139ebd1177d911f8b89_210	0	Alternaria alternata
8200068465b928d6654202aa0c502e3d_209	0	
1d0c54d61879cc6fa6d951e945cada28_196	0	Alternaria alternata
972d533d6fd26372f66cd30f5977c775_194	0	Saitoella complicata
1c24afe980d158e483555609ac6c8533_181	0	Claviceps purpurea
d24a3d136d0ef2ea21d0c2605fd646e8_175	0	Alternaria alternata
b19c98b519d47664b6f6c4366ae97cf7_173	0	Naganishia albida
883746e79c6a4ecf98cb7940a47a1ab1_162	0	Saitoella complicata
d4955116c8c4492379cf5df00a4f97db_147	0	Naganishia albida
6680ba8c78d7d21d52ab061e7a1b7055_142	0	Naganishia albida
9af6070e02a4070e63fc79e48dbb4040_139	0	Neosartorya fischeri
8175eb30250baaa69be894af3176196d_138	0	Mortierella verticillata
0192bb38e92dae79f3f5af303fe3f6fc_132	0	Rhizoctonia solani
115f7a9133a062f63d1b78e51fc8ad50_131	0	Alternaria alternata
4460cd3b412f35514e44efc71953fc67_125	0	Saitoella complicata
47010b72fdb0bb2fcfc945a01eb29a43_123	0	Claviceps purpurea
3228808d15f550a7c3f52781a51847b2_121	0	Naganishia albida
3462ee74a4457b1a9c975b003b4d629b_118	0	Trichoderma reesei
814f34a9136a1b36ffadefad37858b61_118	0	Saitoella complicata
41c69735addb113a9267eebdec04c302_103	0	Penicillium expansum
4db85bf9c4fe2ee4e55e63487800745b_100	0	Aspergillus flavus
0dbd3c2151b41acacab13e2bfe20e8a4_99	0	Penicillium expansum
ba28ee049bb252a90bb41d410c5e57d1_96	0	
e043ba817750fc26978c2b4a27e6bd1a_94	0	Saitoella complicata
9e0dcd0bd8762354bf39d7372d13a945_92	0	Alternaria alternata
751384acf41ba0598facd789bf47b969_89	0	Saitoella complicata
264693188d3498c1d8efdbc37c6da378_88	0	
78cdb78b3c8dc1f2c20c8c46c1a7baae_87	0	Naganishia albida
19315c093ad6ca114ef18e8127928d45_79	0	Naganishia albida
28ecd51b7377ca6860783596b471c228_79	0	
e3e3e6cc94847a3f85ff2e3541dc3c32_78	0	
4de471b97090be42d3644aced019fe0d_75	0	Naganishia albida
897124ab8a4685f35224ef2dcfe29d3a_75	0	Rhizoctonia solani
78091186820adc00b2f585d17ee37c71_74	0	Naganishia albida
d837d6e0b54647d89c4ae643146e6e1a_71	0	Saitoella complicata
e76a6e15f20bd7e70b4d1b168baa4a8c_68	0	Naganishia albida
5fefdc4a22424f9fedd7d8602f130f96_68	0	Alternaria alternata
3464c164a27c31527c313ce96099818f_65	0	Fusarium oxysporum
4d8fa358532c2db49a133c43c5e4e1c8_64	0	
7725135d928fa17dc05b12b28a16dd48_60	0	Naganishia albida
6d5aeb73d0d251f863c2aff30a8207e0_60	0	Naganishia albida
bfbc21fa38e8448c462f2a5677681d8e_60	0	
66ca2187294510318a5e1bd0e5554b42_60	0	
3f451f86d95afa30ea12f9119d27cbb2_59	0	Naganishia albida
4603489afe4fee92fa32c4cf854c39a0_57	0	Alternaria alternata
a5070e7279a3d8eb8d4004d6fdd7b6c1_57	0	Rhizoctonia solani
3906832858baef9fb69cd7823c95ec06_56	0	Naganishia albida
a0ed91c1098192f9fd33c7cbb4ec724a_54	0	Neosartorya fischeri
d2476896d93f6421344728c2a6862308_54	0	Saitoella complicata
78ff9de79644a89b1d1428a45daa76db_50	0	
fd33be97d11b0bc6f6e857e6796d0cc2_49	0	Alternaria alternata
05592006567c66475359807959141299_47	0	
19be8e6e02f3b4c3eae15fadbd4eee65_45	0	
cdea402dc34eaa4b9c795c55b6bb88b0_45	0	Saitoella complicata
98850694d9fa62e6e4a03b9663f01e24_44	0	Naganishia albida
3ea152bda2525d36797725e84e593b71_44	0	Saitoella complicata
c6a96abbc541390f7daf0b0e6da27b34_43	0	
b1b1750431e453aed0a7ba2d8ef948f3_41	0	
46ec9657fafed6003c64dda34bc78955_40	0	Alternaria alternata
35a4dc22ade03f7f0c4dc7251c82e4aa_40	0	Saitoella complicata
938221a10fc702d6ac43c09a527d2e96_38	0	Saitoella complicata
ae7e5798964b4097bebdcd201bde3eb5_36	0	Saitoella complicata
3a737e8481099f4507d8e8a6a695e0f2_35	0	
