#sequence-name	taxid	genus-species
b25e05ff8e66579ce4968b821a09c2eb_173120	0	Naganishia albida
f1b689ef7d0db7b0d303e9c9206ee5ad_148887	0	Fusarium oxysporum
f4c8c5605efad009e0cf708e4d0cd632_57236	0	Saitoella complicata
42ed4d417550285aaeed3ab4564755aa_42975	0	Fusarium graminearum
6ce7604e712f963bbd0ae0f6b7a3cf5e_31196	0	Alternaria alternata
a2878a4e252dfa8b1162300ca2040ca5_28862	0	Fusarium oxysporum
714292a42b82f1c935580bd2de56b428_22487	0	Mortierella verticillata
c0ed42ec88bae5a4936986e17418868c_10400	0	Claviceps purpurea
65eaaf61acf5b84d3f2aed6a2400bb21_9370	0	Aspergillus flavus
2c2b998c0811825f971ce88f46af02e6_8099	0	Candida apicola
6cf4c6bf55f8ee7b5fbc9a8b8b64a1c0_7684	0	Penicillium expansum
992891d3be2232555969e6e39e915b7a_7530	0	Rhizoctonia solani
121a15bbaf9ee47a3cf3200e97ed8e34_5546	0	Chytriomyces hyalinus
1dbe853768f436946efd1aed8231839d_4436	0	Trichoderma reesei
57b06dff740b38bd6a0375abd9db3972_4414	0	
25e9a299c5863f7e9621d574d0bc5d22_2756	0	Neosartorya fischeri
2fdb318cfdd3870676651880e2df0dee_2310	0	Ustilago maydis
29e5612c799d183e8f3bd6d9e64783e1_2196	0	Saitoella complicata
eed6e5c3881a233cca219f7ffd886bbe_1863	0	
34a50392e1ff34c5000fc16073df6432_1474	0	Fusarium graminearum
05007e829ab71427b49743994a14105f_834	0	
d6cde7f42f5b2687d776e45818be6afb_817	0	Saccharomyces cerevisiae
93b2d56429637947243e1b5d54a065cf_791	0	
720d67782e5039f3313da4b41c8ade39_678	0	Naganishia albida
37ac3f08f0f0759a7d88a29a13845145_626	0	Naganishia albida
3b31b6ee4926822a64c307d445260067_544	0	Naganishia albida
bdad3a968eb86c031c3d0889f0d5ad26_520	0	Naganishia albida
c40cad2530d633430c3805be3740c9a4_516	0	
d048e7d9b55dcd1772d27f2080b23d66_499	0	Naganishia albida
de01eab6c1663435f1c93ff7110f414a_490	0	Naganishia albida
d44cd471b11f15e2e42070806737e5d1_484	0	
d4145ba9e3ed6c8c2138ed15b147152d_474	0	
b37ca3a42460d892fbe04e8e0c4b960c_472	0	Naganishia albida
9e5e4dc75a94bc3b318e7126241108c0_447	0	Rhizophagus irregularis
ef1b5609cc08e8fe829fb42d11b8e2cd_441	0	Naganishia albida
7f2e74cb6edd4211f9e4534ff2ff36eb_441	0	Naganishia albida
c7ad2a03266bf876dce6f58e29f6a8b8_440	0	Naganishia albida
d5d5778832ffd993c2229ce9b5aa0107_439	0	Naganishia albida
0a56c97a8351d8e79ead40067c8e144d_438	0	Naganishia albida
761f8ee3cbb0eb5fda684253d949c9c2_428	0	
b2e8e7b4d16054f9de688824abdf4ab3_415	0	Rhizophagus irregularis
074e587e139739dde08156047c9f08b2_409	0	Chytriomyces hyalinus
71e8f109b72499ba6bfc42755bc5cdc4_406	0	
e18bacf0912c8e84029aa4bf6a9f86a6_406	0	
b6a61d539a5efed32a17dadcfcab7e1d_406	0	Naganishia albida
de925fd33d44f37650b29b78b47f5425_405	0	Naganishia albida
831acf596cca4ef840c5543d82e23d16_402	0	
032621bb04c1e94794b3838223771cb2_397	0	Naganishia albida
83eb7cb65f5745b20673098ec4f80eef_396	0	Naganishia albida
ff2b83d5e6c6582b06296b27fc9da3f5_395	0	
955578efe7f8af470136fffabcf03569_391	0	Naganishia albida
779758e8f88dab239363e530fbcae1ae_389	0	Naganishia albida
bd30cf52b7031ddd96e3d7588c1f0e1c_387	0	
54aecb27334809f56b7f940b9ca060a3_387	0	
6e2e6e83a7867e429bd10a72190e96e5_384	0	Naganishia albida
66da3a78292db14225a05e1837222232_382	0	Naganishia albida
19f11338306add327f2669b8a6334b11_379	0	Naganishia albida
2efa4cf96869aea498b5e74b572a393e_376	0	
4a0c544e41c99c02d5622a06e566ec6e_375	0	Naganishia albida
5af1d1b6bed11ec28ae13ff9a50c7ff1_374	0	Naganishia albida
e36e6322793feebc25d0482523c7a73c_373	0	Naganishia albida
4258e49abe47a4e0bab1fab70525d2bc_372	0	Claviceps purpurea
5fc81a3222bb19edbdd6faf813b47777_371	0	
c5adb838525f326d2ba4d08de3395886_368	0	Naganishia albida
112bb4eff6a891f6abe0987926907b9d_368	0	Naganishia albida
d87b87f4320852656ca449d9eff668fe_367	0	
82ee2d9bb508477f5d4f7d0ba3a9d8ec_363	0	Naganishia albida
610caedb1a5699836310fce9dbb9c5fa_357	0	
ac1175772af56329e2134b1b5253b736_357	0	Naganishia albida
a86ff9250dda79f8fa20515b9402ffbf_351	0	Naganishia albida
29d1425627782026542497130ec3a22d_347	0	
cdc1f4b8b04f499a0cb6f18463b18059_345	0	
027f631293bac0acc2cca148cdd9fadf_345	0	Naganishia albida
1b8ce53e6c8b3785c6564336555d6d2e_343	0	Fusarium graminearum
cc924c46b1abe59510bbe9957ac09154_342	0	
9fd8bc68457e2564f793508c0424f537_341	0	Naganishia albida
ea5d0a90b33b5b842f822aa4d8960181_337	0	Naganishia albida
8d800154c9fc7839997e4e759e29a447_335	0	Naganishia albida
d47e859f755a9008aca4bb638012e06a_332	0	Naganishia albida
b2ffaeff648be038733f9295ffafe025_329	0	
b572b32f697135e44eeecd33a2481249_328	0	Naganishia albida
5347da1137afb0cd9d158780e3ccd347_328	0	Naganishia albida
7a5488f2a0a5b4360762a84a5fc67d3c_325	0	
eba43df9170ebe483e2fb95631081b28_324	0	Naganishia albida
4ce942484fc8362c932e62cc121f9f48_324	0	Naganishia albida
87cf963ab1deac742e83f4d9177bd1c4_322	0	
54442374a409793baabda5d425d1a814_319	0	Naganishia albida
b2659be2c403aecf8b74bf6010e1a766_318	0	
3897bfe09df7bdf53d81c282898b29ae_318	0	
e651f085f5e9fecbebdc039cfa25e050_318	0	Naganishia albida
a216bbd9e20bcac22d3fefa4dd5b2816_318	0	Naganishia albida
67989782c55f538009a853811447b338_318	0	Naganishia albida
9211460425aee179f3c29a28c128b7a9_314	0	
014189049ae7953f57f74ed1eac293dd_314	0	
0ae039164542b37ce1be1ecd018436d6_314	0	Naganishia albida
13ce9a30713f44327b46365ab385b9ef_313	0	Naganishia albida
c5d334dcda4bd02d21237a5e64b04cd6_313	0	Naganishia albida
ca71ca99f59d07b1504d54c729f28312_312	0	
65657428c3f75edbbd809c6929bbf09f_311	0	
37d936ed238b9c5d7c5130e4909a8d65_311	0	Naganishia albida
30625c54160cb3709e4ecdbac6cc1362_310	0	
129a793457444b7787d1912612bf8739_310	0	
90e2731d65f91f0b7e763b1b252f4626_309	0	
bbe26de7468046a5492cb43afc2312fa_309	0	
c2bf561d9b58738b274431bbc6f60f6a_309	0	Naganishia albida
75f0f6ebe9859f10c72ced9ccefd1e9f_308	0	
c7367fc481ed4864d5c3dc5ede79ff55_308	0	Naganishia albida
4596c3afcfc7e8736d9583f25dee843c_306	0	Naganishia albida
f4ae4864f698ea20a37005e8f53ee3a5_306	0	Naganishia albida
ed91ec803a16ef1d3a0789e0e180bbbb_305	0	
055b9e58f5e74f5a4a20df6cc1096c5d_303	0	Naganishia albida
4e896a1c311a500a891a4a0526302075_302	0	Naganishia albida
c4aee90fb559d5fb66c702e40fb467b6_301	0	Naganishia albida
6fd2cd0872dc55abc6307d96a7cab8c6_301	0	Naganishia albida
060fc225dac3a79af000d14ad7ec1b59_298	0	
baec09a8afd1af5a39d2ba3001e5d3c3_298	0	Naganishia albida
091ce2186889f82a18ade6ade7a5cd18_297	0	
bd0dbeebb9f930df062c8e79b9d1bc7a_297	0	
d0587fb54ec39cccd2b0f0091cc7b55f_297	0	Naganishia albida
6d99fdc59398244e4c12c0162a728681_296	0	Naganishia albida
78293c89b16b800b24317725256983ac_296	0	Naganishia albida
07f00b4e021b0c100c3c58bf8332a237_295	0	
7fa0580ae52ca7b7a9f9fba42f807a3f_295	0	Naganishia albida
c3202df7fa7ed0cdfcbc5c8fdf912f65_294	0	
792c6cb8b48efa9e66ab6bd568dfdae3_294	0	Naganishia albida
d0d38b07e99c754aa585c5ec00804258_293	0	
16885a29967b40cb1183750b152c7c38_292	0	Naganishia albida
21acb14e9ee42f3dff761bcd880b0267_292	0	
cb2d3d02043427c1edc7385e8b47e330_291	0	Naganishia albida
cd33ceba4927b9956a51a315aeed445c_290	0	Naganishia albida
95e69da700b11e91fcfd812bce396757_290	0	Naganishia albida
512acbc1712e7d7ee8e04a664a992e96_290	0	Naganishia albida
9a07abd1086d979cbbd71bd2767cfaf5_289	0	Naganishia albida
281cc1e4176c6107a1a2ec7e5e035a44_288	0	
74a9c506fe3f17ba48d3344bf41e143a_285	0	
a43c3930fc09b917b6a0f1c2260fb79a_285	0	Naganishia albida
