#sequence-name	taxid	genus-species
317026990d34248e5c14eebf2c90acfb_36815	0	Fusarium verticillioides
83db2bca58a529bad64debdfeaa7d670_22515	0	Naganishia albida
43925bad576e342736e3e1b5223b7639_13186	0	Alternaria alternata
796e8d3a5bc03a81558419536d11449c_11522	0	Fusarium graminearum
6701823bd40b0604564c5d566bbe4010_9639	0	Saitoella complicata
eface11034976bafd31e0b761aa4a9bf_9397	0	Saccharomyces cerevisiae
de1fc39f7700c5411c453bec7061356c_7524	0	Fusarium oxysporum
42dc47e39ad643fc3215da4caa7c5f18_4666	0	Aspergillus flavus
8e49a1473c161255804dcf4264871447_4641	0	Penicillium expansum
77bea10eaf89697ebb7bbea32c2a5e34_4098	0	Claviceps purpurea
9e2f1b7691ec2fb57a59ec01c310037e_3595	0	Trichoderma reesei
168fe3d24e25d46bba068aad05cc6787_1540	0	Neosartorya fischeri
8900fade1429f1c9d731961fd1d133d6_1370	0	Rhizoctonia solani
8844633972d7276992ac836e097012da_1151	0	Mortierella verticillata
67c16fb724913e9e366d5857703c5ff8_954	0	
1f415cc8a0e6d6d680677d47e0bd6b44_851	0	
0fdb96ee964dc291f5ed529c6bffccfd_773	0	
ccf5a497b51734fc6038984c10219a40_735	0	
519e9f73e6d3777db627b749b00a3c23_571	0	
98ae03447a980fcc25173a7a545071a6_488	0	
d7fa2861bbb8f06793265d27f757fd39_481	0	
d1bb95fff4a7e9958fa3c7f13cc51343_452	0	
ac2204b48864a789f22a34563c57e112_394	0	
b270a80ecaf2e300c8365b137ef2c5cd_383	0	
85572b900c1c63228d1aae6e6bbe9d3e_356	0	
71fe26d4bc282841c4fcd0d7c663a201_349	0	
2ef33e6acd8079d729b81d24b91fcf88_297	0	
caff53ac1f46f160321b6434bdd7aa07_284	0	
93d3947bec7413ce190ad395527c271f_234	0	
46621c012c6ae47b0b73393a793dbd45_228	0	
27ab2e0f0ab97fc943a087fd7566eb2b_225	0	
9b40d5072ba5bd2da1e6c43bfd1f3c6c_220	0	
54de02164a656f7e160feb9e1e131cd6_217	0	
77912f529350c2e4628f2d1cf82fb013_194	0	
04162aa11da344e579d9c1a5bd277369_192	0	
1ed891f3e9a894a2f88f2dd07c74bcbc_188	0	Rhizophagus irregularis
ba19cb918bacf8ea7b8749307dfb58f3_186	0	
ca19a346732462113487a72ef802d27b_186	0	
6618be2869f46bd6fe6def0888052965_173	0	
d4f0f800dd3c4308d3d0bda4fae83c6c_173	0	
daebbc6d548a907f5cd08d768060fa9c_158	0	
ab0f10cba2632719d5c09e23dda75456_157	0	
47edacfce14c4e43568b720765ad35d6_156	0	
8edbf2c168b11f910458b0e567ae5fc6_154	0	
51d8d2d3f0ebf9addb319753742bef5c_154	0	
cb90cb0562510f7d116d30ac08747e71_153	0	
c6c8e50c02c9df46bbeabf74d0eb7893_152	0	
5e379d389a443f6b031594841d816871_150	0	
2d5618dda4a035e37685de71ca4f3cc0_144	0	
d132cd9adf71d2673cbc0b0c28ff3d72_141	0	
0993f0c9523c69d60b5c2557939e0731_139	0	
4ee2dc5efded14f17f2b222f7902130a_128	0	
f878b3f06907723061b7c469b72ca49a_128	0	
40f1fd8a9d3abfcf922d85915183b1c5_121	0	
c69ad44c8a448efc8b0dbb37a7940aaa_119	0	
30a3dcbb578e7c2c262ca52876d15a8e_114	0	
8a07a11dc33ec6cd4c194bee30df861f_110	0	
e1462c84fe2d4ac29d3b086b9ced4ba6_101	0	
7fe5837129611201e6e147a4536e8939_99	0	
b8946fa64a9a4b7550e560d6e40a12a8_99	0	
f2c186f3bdf9ff4567dda7c097ba300c_96	0	
500d71a7bc453a1de3a9f1b3ca4199d6_87	0	
0508bc04784d158c0fe8079cebec0d52_84	0	
2c8f92d60f5769c06862eba8d5be60c7_79	0	
772035ea256e664566746e19b8204a01_77	0	
9f4def14ac8e52558ac28016e35aae1a_76	0	
d61e526a895ca66ad4117735fc785979_72	0	
032ab65142bc9c17bf82b52a8dea8011_69	0	
ab64ccc151c8a850c8d6507149f35740_67	0	
92696f85e7401252754ef3cab8731991_67	0	
6543d4aad9d3e2908e83a5565be0226c_66	0	
be0cb5dc341cbe588be9507dfaf0378d_65	0	
3765ec0c5380b1f68572064368f6178c_64	0	
