run_accession	library_name	read_count	run_alias	fastq_md5	fastq_ftp	sample_alias
SRR14022266	250_5	1632786	250-Pool-5_S10_L001_R1_001.fastq.gz	da14111a5b77d80c5f59b44869142fda;70162709bb02273162ac0b527590bcb3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/066/SRR14022266/SRR14022266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/066/SRR14022266/SRR14022266_2.fastq.gz	250-Pool-5
SRR14022267	250_4	2501145	250-Pool-4_S9_L001_R1_001.fastq.gz	966aa7aa1c09f856c3e8b9b76e39cb75;1cc43b2a73980d6b6398877fa0b65354	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/067/SRR14022267/SRR14022267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/067/SRR14022267/SRR14022267_2.fastq.gz	250-Pool-4
SRR14022268	250_3	1631700	250-Pool-3_S8_L001_R1_001.fastq.gz	7643e77dcafb3a1265b7126fc613b835;1ff301dc1036e550a100fb2327f045ee	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/068/SRR14022268/SRR14022268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/068/SRR14022268/SRR14022268_2.fastq.gz	250-Pool-3
SRR14022269	250_2	2037475	250-Pool-2_S7_L001_R1_001.fastq.gz	f35e731ede7c805965339bb31542619a;120c368573a9618fcd5f6528e969a7d7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/069/SRR14022269/SRR14022269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/069/SRR14022269/SRR14022269_2.fastq.gz	250-Pool-2
SRR14022270	250_1	1845819	250-Pool-1_S6_L001_R1_001.fastq.gz	ab145c944148ed1056456be0f1de8259;bd38bb338cdb8041156b50fede752ad0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/070/SRR14022270/SRR14022270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/070/SRR14022270/SRR14022270_2.fastq.gz	250-Pool-1
SRR14022271	100_5	1817929	100-Pool-5_S5_L001_R1_001.fastq.gz	40768756fa0c7699244eab6941dbbbc6;2efb63e8d2cde9c66aaa36026ecb9267	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/071/SRR14022271/SRR14022271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/071/SRR14022271/SRR14022271_2.fastq.gz	100-Pool-5
SRR14022272	100_4	634017	100-Pool-4_S4_L001_R1_001.fastq.gz	c7b543a9cf44cc912376c78a457ddef8;c95bcdb7df03bbeb8ecd3d5a6845d4f8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/072/SRR14022272/SRR14022272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/072/SRR14022272/SRR14022272_2.fastq.gz	100-Pool-4
SRR14022273	Trap_10	2445993	Trap-10_S10_L001_R1_001.fastq.gz	68399151eb2f2be13c1934c9a5992983;f7456b1f80c4e8c16be27ea161c3e716	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/073/SRR14022273/SRR14022273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/073/SRR14022273/SRR14022273_2.fastq.gz	Trap-10
SRR14022274	Trap_9	2065455	Trap-9_S9_L001_R1_001.fastq.gz	12456fa3ee5ae17572208e08bfa1bd49;35fad4b74954cdc7e3ddd7162fd6b4aa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/074/SRR14022274/SRR14022274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/074/SRR14022274/SRR14022274_2.fastq.gz	Trap-9
SRR14022275	Trap_8	2196646	Trap-8_S8_L001_R1_001.fastq.gz	4d4f4fe1b56ae16a904d998931ea43cd;cb82489a115b32384e1c8e66f82bbe65	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/075/SRR14022275/SRR14022275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/075/SRR14022275/SRR14022275_2.fastq.gz	Trap-8
SRR14022276	Trap_7	2853448	Trap-7_S7_L001_R1_001.fastq.gz	fd566f0d622da65683bc8948c74ac77f;0e46d969e00c6c9f845f56777aefb676	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/076/SRR14022276/SRR14022276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/076/SRR14022276/SRR14022276_2.fastq.gz	Trap-7
SRR14022277	Trap_6	697389	Trap-6_S6_L001_R1_001.fastq.gz	423d4dab6de5496f2da4cb50af0ded5c;93bf94b634f33c5df83434ebaf595a26	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/077/SRR14022277/SRR14022277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/077/SRR14022277/SRR14022277_2.fastq.gz	Trap-6
SRR14022278	Trap_5	3437292	Trap-5_S5_L001_R1_001.fastq.gz	841ebd55fcbba5315a0a569b896d4377;bc44b8b36740900eafd8cf933350352b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/078/SRR14022278/SRR14022278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/078/SRR14022278/SRR14022278_2.fastq.gz	Trap-5
SRR14022279	Trap_4	742893	Trap-4_S4_L001_R1_001.fastq.gz	f56036619587f101f5d7fb7935679de3;ee586ccee7a65cd0f9b33094330ab9f6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/079/SRR14022279/SRR14022279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/079/SRR14022279/SRR14022279_2.fastq.gz	Trap-4
SRR14022280	Trap_3	2422054	Trap-3_S3_L001_R1_001.fastq.gz	47c7ae198e2f19c7a093b82007c444a2;42198e64874cdc442caa7e0ac36372dd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/080/SRR14022280/SRR14022280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/080/SRR14022280/SRR14022280_2.fastq.gz	Trap-3
SRR14022281	Trap_2	1127739	Trap-2_S2_L001_R1_001.fastq.gz	64df242fa55381fe443893f56f649c60;e686efbbeb2868466a45ba21463ec3d6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/081/SRR14022281/SRR14022281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/081/SRR14022281/SRR14022281_2.fastq.gz	Trap-2
SRR14022282	Trap_1	1759819	Trap-1_S1_L001_R1_001.fastq.gz	233dc34d32cd2d3d37428950986104d1;9555d060e755d10b94fc60dd70ccb18e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/082/SRR14022282/SRR14022282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/082/SRR14022282/SRR14022282_2.fastq.gz	Trap-1
SRR14022283	100_3	950692	100-Pool-3_S3_L001_R1_001.fastq.gz	feaf4d10fe4be3476c2424aacb048af1;7026e3432454556e3f184ddf6f0f92a5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/083/SRR14022283/SRR14022283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/083/SRR14022283/SRR14022283_2.fastq.gz	100-Pool-3
SRR14022284	1000_5	1423279	1000-Pool-5_S15_L001_R1_001.fastq.gz	bc2f8983a464d107f9f88d5264687980;721334b49e15f792033a49df2b762d16	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/084/SRR14022284/SRR14022284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/084/SRR14022284/SRR14022284_2.fastq.gz	1000-Pool-5
SRR14022285	1000_4	1198812	1000-Pool-4_S14_L001_R1_001.fastq.gz	0fa108c9324663df902bc245d32c0afc;faf32f74b18532de1b89a6026fe87827	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/085/SRR14022285/SRR14022285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/085/SRR14022285/SRR14022285_2.fastq.gz	1000-Pool-4
SRR14022286	1000_3	1773647	1000-Pool-3_S13_L001_R1_001.fastq.gz	cf647c28245559299399a72063422d16;28dc443c90f38802c5f6a278df03ef9a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/086/SRR14022286/SRR14022286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/086/SRR14022286/SRR14022286_2.fastq.gz	1000-Pool-3
SRR14022287	1000_2	1068715	1000-Pool-2_S12_L001_R1_001.fastq.gz	aa28973c914a6eafc3e9d5caa2581f37;7f17154825bc4bc2983833558b6b524c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/087/SRR14022287/SRR14022287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/087/SRR14022287/SRR14022287_2.fastq.gz	1000-Pool-2
SRR14022288	1000_1	855997	1000-Pool-1_S11_L001_R1_001.fastq.gz	c840c305d200c6d9465aa03057f5539d;c41499c7ea08f283d0738e9ba8a08f50	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/088/SRR14022288/SRR14022288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/088/SRR14022288/SRR14022288_2.fastq.gz	1000-Pool-1
SRR14022289	500_5	807060	500-Pool-5_S10_L001_R1_001.fastq.gz	e25c930f875ef03f7a399e1f601cd39c;e48729682b48729ad8b013a96871815f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/089/SRR14022289/SRR14022289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/089/SRR14022289/SRR14022289_2.fastq.gz	500-Pool-5
SRR14022290	500_4	572779	500-Pool-4_S9_L001_R1_001.fastq.gz	526b4a32d30292602e6ebb76d048c0ac;9946edd973965d746f285d8216884bcb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/090/SRR14022290/SRR14022290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/090/SRR14022290/SRR14022290_2.fastq.gz	500-Pool-4
SRR14022291	500_3	923807	500-Pool-3_S8_L001_R1_001.fastq.gz	152d713b5b8ba37633b6029221551288;6631b69e0c5c66c371e055b3d843bbf2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/091/SRR14022291/SRR14022291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/091/SRR14022291/SRR14022291_2.fastq.gz	500-Pool-3
SRR14022292	500_2	1908370	500-Pool-2_S7_L001_R1_001.fastq.gz	8d0a79d19df6e5a8ab5e49538c49fcef;0c6c619ece96fb2244a5a593f634f778	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/092/SRR14022292/SRR14022292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/092/SRR14022292/SRR14022292_2.fastq.gz	500-Pool-2
SRR14022293	500_1	647776	500-Pool-1_S6_L001_R1_001.fastq.gz	ffa435a12ca925b0222ac1ee1ff5be4e;25f0b2241d8a937a9b1528a978622bd7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/093/SRR14022293/SRR14022293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/093/SRR14022293/SRR14022293_2.fastq.gz	500-Pool-1
SRR14022294	100_2	737998	100-Pool-2_S2_L001_R1_001.fastq.gz	0907197a6f0d77dc93aa822cf5c05f0f;19ac4f4adec8542574d5d21c7818159b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/094/SRR14022294/SRR14022294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/094/SRR14022294/SRR14022294_2.fastq.gz	100-Pool-2
SRR14022295	100_1	478705	100-Pool-1_S1_L001_R1_001.fastq.gz	22132dddbef49bedce4960103b4b9c51;7d0b55ea4746f070f7d33c3bbfa9e35d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/095/SRR14022295/SRR14022295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/095/SRR14022295/SRR14022295_2.fastq.gz	100-Pool-1
