Caption	Genus	Expected	COI	18S	12S
100 Pool 1	Acizzia	0.99	0.9951042799935187	0.9977881721599768	0.998826964406504
100 Pool 1	Bactericera	0.01	0.004895720006481331	0.002211827840023206	0.0011730355934960741
100 Pool 1	Diuraphis	0.0	0.0	0.0	0.0
100 Pool 1	Metopolophium	0.0	0.0	0.0	0.0
100 Pool 1	Rhopalosiphum	0.0	0.0	0.0	0.0
250 Pool 1	Acizzia	0.996	0.996638030798341	1.0	0.9994637263793359
250 Pool 1	Bactericera	0.004	0.003361969201659022	0.0	0.0005362736206641184
250 Pool 1	Diuraphis	0.0	0.0	0.0	0.0
250 Pool 1	Metopolophium	0.0	0.0	0.0	0.0
250 Pool 1	Rhopalosiphum	0.0	0.0	0.0	0.0
500 Pool 1	Acizzia	0.998	0.9909853477858271	1.0	0.9986638169224517
500 Pool 1	Bactericera	0.002	0.009014652214172886	0.0	0.0013361830775483234
500 Pool 1	Diuraphis	0.0	0.0	0.0	0.0
500 Pool 1	Metopolophium	0.0	0.0	0.0	0.0
500 Pool 1	Rhopalosiphum	0.0	0.0	0.0	0.0
1000 Pool 1	Acizzia	0.999	0.9970035468221289	0.9982379759313262	1.0
1000 Pool 1	Bactericera	0.001	0.0	0.0	0.0
1000 Pool 1	Diuraphis	0.0	0.002996453177871091	0.0017620240686737586	0.0
1000 Pool 1	Metopolophium	0.0	0.0	0.0	0.0
1000 Pool 1	Rhopalosiphum	0.0	0.0	0.0	0.0
100 Pool 2	Acizzia	0.0	0.0	0.0	0.0
100 Pool 2	Bactericera	0.0	0.0	0.0	0.0
100 Pool 2	Diuraphis	0.01	0.0031069952640945973	0.0022960363448407193	0.002213434069177193
100 Pool 2	Metopolophium	0.05	0.009493748988786846	0.0541690470361	0.036654468185574315
100 Pool 2	Rhopalosiphum	0.94	0.9873992557471185	0.9435349166190593	0.9611320977452485
250 Pool 2	Acizzia	0.0	0.0	0.0	0.0
250 Pool 2	Bactericera	0.0	0.0	0.0	0.0
250 Pool 2	Diuraphis	0.004	0.001257029696843115	0.0	0.0008898287946286698
250 Pool 2	Metopolophium	0.056	0.020019648341107577	0.06057960167976383	0.08083574569386423
250 Pool 2	Rhopalosiphum	0.94	0.9787233219620493	0.9394203983202362	0.9182744255115071
500 Pool 2	Acizzia	0.0	0.0	0.0	0.0024493687532877433
500 Pool 2	Bactericera	0.0	0.0	0.0	0.0
500 Pool 2	Diuraphis	0.002	0.0010588835516879566	0.001262290425977937	0.0
500 Pool 2	Metopolophium	0.05	0.016820846529268504	0.00956635815687565	0.05801223040504997
500 Pool 2	Rhopalosiphum	0.948	0.9821202699190436	0.9891713514171464	0.9395384008416623
1000 Pool 2	Acizzia	0.0	0.0	0.0	0.0
1000 Pool 2	Bactericera	0.0	0.0	0.0	0.0
1000 Pool 2	Diuraphis	0.001	0.00027921514430802856	0.00027067220987132427	0.0
1000 Pool 2	Metopolophium	0.05	0.009181959889438839	0.0058635507936170015	0.03415037179840264
1000 Pool 2	Rhopalosiphum	0.949	0.9905388249662531	0.9938657769965117	0.9658496282015974
100 Pool 3	Acizzia	0.45	0.05092760022238655	0.45704709207006644	0.5127048010241202
100 Pool 3	Bactericera	0.05	0.17804418583311293	0.05901878936922944	0.44772105617004815
100 Pool 3	Diuraphis	0.01	0.004739208584552771	0.005266308568470101	0.0
100 Pool 3	Metopolophium	0.15	0.04508185660385506	0.06295031926827163	0.010858253285565615
100 Pool 3	Rhopalosiphum	0.34	0.7212071487560927	0.41571749072396236	0.028715889520265978
250 Pool 3	Acizzia	0.476	0.4652310118489472	0.5618966750089381	0.9202785633212135
250 Pool 3	Bactericera	0.02	0.12013042366379678	0.15422774401144082	0.06663407557286204
250 Pool 3	Diuraphis	0.004	0.01986190435597988	0.0	0.00037457125171301277
250 Pool 3	Metopolophium	0.156	0.050240814934788165	0.11230782981766178	0.004245895276215178
250 Pool 3	Rhopalosiphum	0.344	0.34453584519648794	0.17156775116195924	0.00846689457799626
500 Pool 3	Acizzia	0.472	0.10338835794960903	0.564588191400056	0.9273791696451399
500 Pool 3	Bactericera	0.01	0.0034431926621184715	0.0004757018934800858	0.00768054765644159
500 Pool 3	Diuraphis	0.002	0.0	0.0	0.0
500 Pool 3	Metopolophium	0.158	0.11128242013359729	0.024825109597985263	0.022525084397322245
500 Pool 3	Rhopalosiphum	0.358	0.7818860292546752	0.4101109971084787	0.04241519830109625
1000 Pool 3	Acizzia	0.476	0.1441829551157712	0.7732992893883983	0.9442628817064028
1000 Pool 3	Bactericera	0.005	0.007802178424643598	0.0018861683465643863	0.012112235214715867
1000 Pool 3	Diuraphis	0.001	0.0002550086133228436	0.0	0.0
1000 Pool 3	Metopolophium	0.159	0.1669790974322803	0.01973136502839473	0.022136310207298594
1000 Pool 3	Rhopalosiphum	0.359	0.6807807604139821	0.20508317723664257	0.021488572871582675
100 Pool 4	Acizzia	0.49	0.25236445227072624	0.7839796722049281	0.9733847575941096
100 Pool 4	Bactericera	0.01	0.003962055156352069	0.002039342909650077	0.002569088069359003
100 Pool 4	Diuraphis	0.05	0.055355164872617796	0.011987585793046544	0.0006629904695120008
100 Pool 4	Metopolophium	0.3	0.19158453804425005	0.11745208716198477	0.015312529882382941
100 Pool 4	Rhopalosiphum	0.15	0.49673378965605386	0.08454131193039043	0.00807063398463647
250 Pool 4	Acizzia	0.5	0.41287167322003054	0.394542646301699	0.9705227926524985
250 Pool 4	Bactericera	0.004	0.0	0.0	0.0
250 Pool 4	Diuraphis	0.02	0.016650960257368473	0.006607173502660031	0.0002841775579003377
250 Pool 4	Metopolophium	0.316	0.3314204010008774	0.4167667753561009	0.02335496128332704
250 Pool 4	Rhopalosiphum	0.16	0.2390569655217236	0.18208340483954008	0.0058380685062740766
500 Pool 4	Acizzia	0.516	0.48022067313860495	0.9201807340468872	0.9784271819739184
