run_accession	sample_alias	source	individuals
SRR14022295	100-Pool-1	Pool 1	0100
SRR14022294	100-Pool-2	Pool 2	0100
SRR14022283	100-Pool-3	Pool 3	0100
SRR14022272	100-Pool-4	Pool 4	0100
SRR14022271	100-Pool-5	Pool 5	0100
SRR14022270	250-Pool-1	Pool 1	0250
SRR14022269	250-Pool-2	Pool 2	0250
SRR14022268	250-Pool-3	Pool 3	0250
SRR14022267	250-Pool-4	Pool 4	0250
SRR14022266	250-Pool-5	Pool 5	0250
SRR14022293	500-Pool-1	Pool 1	0500
SRR14022292	500-Pool-2	Pool 2	0500
SRR14022291	500-Pool-3	Pool 3	0500
SRR14022290	500-Pool-4	Pool 4	0500
SRR14022289	500-Pool-5	Pool 5	0500
SRR14022288	1000-Pool-1	Pool 1	1000
SRR14022287	1000-Pool-2	Pool 2	1000
SRR14022286	1000-Pool-3	Pool 3	1000
SRR14022285	1000-Pool-4	Pool 4	1000
SRR14022284	1000-Pool-5	Pool 5	1000
SRR14022282	Trap-1	Trap	-
SRR14022281	Trap-2	Trap	-
SRR14022280	Trap-3	Trap	-
SRR14022279	Trap-4	Trap	-
SRR14022278	Trap-5	Trap	-
SRR14022277	Trap-6	Trap	-
SRR14022276	Trap-7	Trap	-
SRR14022275	Trap-8	Trap	-
SRR14022274	Trap-9	Trap	-
SRR14022273	Trap-10	Trap	-
