HQ643082.1	Achlya ambisexualis
HQ643083.1	Achlya ambisexualis
HQ643084.1	Achlya americana
HQ643085.1	Achlya aquatica
HQ643086.1	Achlya bisexualis
HQ643087.1	Achlya bisexualis
HQ643088.1	Achlya bisexualis
HQ643089.1	Achlya caroliniana
HQ643090.1	Achlya colorata
HQ643091.1	Achlya colorata
HQ643092.1	Achlya conspicua
HQ643093.1	Achlya dubia
HQ643094.1	Achlya dubia
HQ643095.1	Achlya flagellata
HQ643096.1	Achlya flagellata
HQ643097.1	Achlya flagellata
HQ643098.1	Achlya glomerata
HQ643099.1	Achlya heterosexualis
HQ643100.1	Achlya heterosexualis
HQ643101.1	Achlya oligacantha
HQ643102.1	Achlya papillosa
HQ643103.1	Achlya racemosa
HQ643104.1	Achlya racemosa
HQ643105.1	Achlya racemosa
HQ643106.1	Achlya radiosa
HQ643107.1	Achlya recurva
HQ643108.1	Achlya sparrowii
HQ643109.1	Achlya spinosa
HQ643110.1	Albugo candida
HQ643111.1	Albugo candida
HQ643112.1	Aphanomyces cladogamus
HQ643113.1	Aphanomyces cladogamus
HQ643114.1	Aphanomyces cladogamus
HQ643115.1	Aphanomyces cochlioides
HQ643116.1	Aphanomyces euteiches
HQ643117.1	Aphanomyces euteiches
HQ643118.1	Aphanomyces euteiches
HQ643119.1	Aphanomyces euteiches
HQ643120.1	Aphanomyces euteiches
HQ643121.1	Aphanomyces iridis
HQ643122.1	Aphanomyces laevis
HQ643123.1	Aphanomyces sp. CBS 583.85
HQ643124.1	Apodachlya brachynema
HQ643125.1	Apodachlya brachynema
HQ643126.1	Apodachlya minima
EF553487.2	Basidiophora entospora
HQ643127.1	Brevilegnia gracilis
HQ643128.1	Brevilegnia macrospora
HQ643129.1	Brevilegnia unisperma var. delica
HQ643130.1	Brevilegnia variabilis
HQ643131.1	Eurychasma dicksonii
HQ643147.1	Halophytophthora avicenniae
HQ643220.1	Halophytophthora epistomium
HQ643132.1	Halophytophthora exoprolifera
HQ643313.1	Halophytophthora polymorphica
AY198250.3	Hyaloperonospora nesliae
AY198253.3	Hyaloperonospora sisymbrii-sophiae
HQ643136.1	Lagenidium caudatum
AY151183.1	Lagenidium giganteum
HQ643138.1	Leptolegnia CAL-2011b
HQ643137.1	Leptolegnia caudata
AY198300.3	Peronospora aparines
AY198298.3	Peronospora calotheca
AY198246.3	Peronospora conglomerata
AY198296.3	Peronospora radii
AY198301.3	Peronospora sherardiae
AY198293.3	Peronospora valerianellae
AY198240.3	Peronospora violae
JX951285.1	Phytophthora acerina
HQ643139.1	Phytophthora aff. botryosa
HQ643140.1	Phytophthora aff. botryosa
HQ261491.1	Phytophthora aff. infestans
HQ261492.1	Phytophthora aff. primulae
HQ261493.1	Phytophthora aff. rosacearum
HQ643141.1	Phytophthora aff. sansomeana
KP295314.1	Phytophthora agathidicida
GU993881.1	Phytophthora alni
HQ261494.1	Phytophthora alni
HQ261495.1	Phytophthora alni
HQ261496.1	Phytophthora alni
HQ261497.1	Phytophthora alni
HQ643142.1	Phytophthora alni
HQ643143.1	Phytophthora alni
AY689131.1	Phytophthora alni subsp. alni
AY689136.1	Phytophthora alni subsp. multiformis
AF139367.1	Phytophthora alni subsp. uniformis
AY689134.1	Phytophthora alni subsp. uniformis
DQ988196.1	Phytophthora alticola
HQ261498.1	Phytophthora alticola
JQ029956.1	Phytophthora amnicola
JQ029958.1	Phytophthora amnicola
AY770741.1	Phytophthora andina
FJ769180.1	Phytophthora andina
HQ643350.1	Phytophthora andina
FJ666127.1	Phytophthora aquimorbida
HQ643146.1	Phytophthora arecae
HQ013215.1	Phytophthora arenaria
HQ013219.1	Phytophthora arenaria
AB538396.1	Phytophthora asiatica
AB688422.1	Phytophthora asiatica
HQ261681.1	Phytophthora asparagi
HQ261682.1	Phytophthora asparagi
HQ261683.1	Phytophthora asparagi
DQ995184.1	Phytophthora austrocedrae
HQ261499.1	Phytophthora austrocedri
HQ261500.1	Phytophthora austrocedri
HQ643148.1	Phytophthora batemanensis
JQ256377.1	Phytophthora bilorbang
AF408625.2	Phytophthora bisheria
DQ302411.1	Phytophthora bisheria
HQ261501.1	Phytophthora bisheria
HQ261502.1	Phytophthora bisheria
HQ261503.1	Phytophthora bisheria
DQ988207.1	Phytophthora boehmeriae
GU993882.1	Phytophthora boehmeriae
HQ261504.1	Phytophthora boehmeriae
HQ261505.1	Phytophthora boehmeriae
HQ261506.1	Phytophthora boehmeriae
HQ643149.1	Phytophthora boehmeriae
JQ626598.1	Phytophthora borealis
AF266784.1	Phytophthora botryosa
GU993883.1	Phytophthora botryosa
HQ261507.1	Phytophthora botryosa
HQ261508.1	Phytophthora botryosa
HQ261509.1	Phytophthora botryosa
HQ261510.1	Phytophthora botryosa
HQ643151.1	Phytophthora botryosa
AF380147.1	Phytophthora brassicae
HQ261511.1	Phytophthora brassicae
HQ261512.1	Phytophthora brassicae
HQ643153.1	Phytophthora brassicae
HQ643154.1	Phytophthora brassicae
HQ643155.1	Phytophthora brassicae
HQ643156.1	Phytophthora brassicae
HQ643157.1	Phytophthora brassicae
HQ643158.1	Phytophthora brassicae
AB217671.1	Phytophthora cactorum
AF266772.1	Phytophthora cactorum
HQ261513.1	Phytophthora cactorum
HQ261514.1	Phytophthora cactorum
HQ643159.1	Phytophthora cactorum
HQ643160.1	Phytophthora cactorum
HQ643161.1	Phytophthora cactorum
HQ643162.1	Phytophthora cactorum
HQ643163.1	Phytophthora cactorum
HQ643164.1	Phytophthora cactorum
HQ643165.1	Phytophthora cactorum
HQ643166.1	Phytophthora cactorum
HQ643167.1	Phytophthora cactorum
HQ643168.1	Phytophthora cactorum
HQ643169.1	Phytophthora cactorum
HQ643170.1	Phytophthora cactorum
AF266765.1	Phytophthora cajani
HQ261515.1	Phytophthora cajani
AF139369.1	Phytophthora cambivora
AF266763.1	Phytophthora cambivora
AY787028.1	Phytophthora cambivora
AY787029.1	Phytophthora cambivora
AY787030.1	Phytophthora cambivora
AY787031.1	Phytophthora cambivora
GU993885.1	Phytophthora cambivora
HQ261516.1	Phytophthora cambivora
HQ643172.1	Phytophthora cambivora
HQ643173.1	Phytophthora cambivora
HQ643174.1	Phytophthora cambivora
HQ643175.1	Phytophthora cambivora
HQ643176.1	Phytophthora cambivora
HQ643177.1	Phytophthora cambivora
HQ643178.1	Phytophthora cambivora
HQ643179.1	Phytophthora cambivora
GU191219.1	Phytophthora capensis
AB217670.1	Phytophthora capsici
AF266787.1	Phytophthora capsici
GU993886.1	Phytophthora capsici
HQ261517.1	Phytophthora capsici
HQ261518.1	Phytophthora capsici
HQ261519.1	Phytophthora capsici
HQ261520.1	Phytophthora capsici
HQ643180.1	Phytophthora capsici
HQ643181.1	Phytophthora capsici
HQ643182.1	Phytophthora capsici
HQ643183.1	Phytophthora capsici
HQ643185.1	Phytophthora capsici
HQ643186.1	Phytophthora capsici
HQ643187.1	Phytophthora capsici
HQ643188.1	Phytophthora capsici
DQ297399.1	Phytophthora captiosa
HQ261521.1	Phytophthora captiosa
HQ261522.1	Phytophthora captiosa
KP295323.1	Phytophthora castaneae
KP295324.1	Phytophthora castaneae
AF541900.1	Phytophthora chlamydospora
AF541901.1	Phytophthora chlamydospora
AB437136.1	Phytophthora chrysanthemi
AB511826.1	Phytophthora chrysanthemi
KC478773.1	Phytophthora cichorii
AB217675.1	Phytophthora cinnamomi
AF266764.1	Phytophthora cinnamomi
GU191210.1	Phytophthora cinnamomi
HQ261523.1	Phytophthora cinnamomi
HQ261524.1	Phytophthora cinnamomi
HQ261525.1	Phytophthora cinnamomi
HQ261526.1	Phytophthora cinnamomi
HQ261527.1	Phytophthora cinnamomi
HQ261528.1	Phytophthora cinnamomi
HQ261529.1	Phytophthora cinnamomi
HQ261530.1	Phytophthora cinnamomi
HQ261531.1	Phytophthora cinnamomi
HQ643189.1	Phytophthora cinnamomi
HQ643190.1	Phytophthora cinnamomi
HQ643191.1	Phytophthora cinnamomi
HQ643192.1	Phytophthora cinnamomi
HQ643193.1	Phytophthora cinnamomi
HQ643194.1	Phytophthora cinnamomi
HQ643195.1	Phytophthora cinnamomi
HQ643196.1	Phytophthora cinnamomi
HQ643197.1	Phytophthora cinnamomi
HQ643198.1	Phytophthora cinnamomi
KC478663.1	Phytophthora cinnamomi
FJ802007.1	Phytophthora cinnamomi var. parvispora
GQ388261.1	Phytophthora cinnamomi var. parvispora
HQ643199.1	Phytophthora cinnamomi var. parvispora
HQ643200.1	Phytophthora cinnamomi var. parvispora
GU993888.1	Phytophthora citricola
HQ261532.1	Phytophthora citricola
HQ261533.1	Phytophthora citricola
HQ261534.1	Phytophthora citricola
HQ643201.1	Phytophthora citricola
HQ643203.1	Phytophthora citricola
HQ643204.1	Phytophthora citricola
AF266788.1	Phytophthora citricola E
GQ303149.1	Phytophthora citricola III
FJ560913.1	Phytophthora citricola sensu stricto
AF266785.1	Phytophthora citrophthora
GU993889.1	Phytophthora citrophthora
HQ261535.1	Phytophthora citrophthora
HQ261536.1	Phytophthora citrophthora
HQ643205.1	Phytophthora citrophthora
HQ643206.1	Phytophthora citrophthora
HQ643207.1	Phytophthora citrophthora
HQ643208.1	Phytophthora citrophthora
AJ131989.1	Phytophthora clandestina
HQ261537.1	Phytophthora clandestina
HQ261538.1	Phytophthora clandestina
KP295306.1	Phytophthora cocois
AF266786.1	Phytophthora colocasiae
HQ261539.1	Phytophthora colocasiae
HQ261540.1	Phytophthora colocasiae
EU301143.1	Phytophthora constricta
HQ013225.1	Phytophthora constricta
AF266796.1	Phytophthora cryptogea
AY659421.1	Phytophthora cryptogea
AY659422.1	Phytophthora cryptogea
AY659426.1	Phytophthora cryptogea
AY659428.1	Phytophthora cryptogea
AY659431.1	Phytophthora cryptogea
AY659434.1	Phytophthora cryptogea
AY659439.1	Phytophthora cryptogea
AY659450.1	Phytophthora cryptogea
GU993890.1	Phytophthora cryptogea
HQ261541.1	Phytophthora cryptogea
HQ261542.1	Phytophthora cryptogea
HQ261543.1	Phytophthora cryptogea
HQ261544.1	Phytophthora cryptogea
HQ261545.1	Phytophthora cryptogea
HQ261546.1	Phytophthora cryptogea
HQ261547.1	Phytophthora cryptogea
HQ261548.1	Phytophthora cryptogea
HQ261549.1	Phytophthora cryptogea
HQ261550.1	Phytophthora cryptogea
HQ643210.1	Phytophthora cryptogea
HQ643211.1	Phytophthora cryptogea
HQ643212.1	Phytophthora cryptogea
HQ643214.1	Phytophthora cryptogea
HQ643215.1	Phytophthora cryptogea
HQ643216.1	Phytophthora cryptogea
HQ643217.1	Phytophthora cryptogea
HQ643218.1	Phytophthora cryptogea
HQ643219.1	Phytophthora cryptogea
KC478761.1	Phytophthora dauci
AF266798.1	Phytophthora drechsleri
AY659435.1	Phytophthora drechsleri
AY659446.1	Phytophthora drechsleri
AY659457.1	Phytophthora drechsleri
AY659458.1	Phytophthora drechsleri
AY659464.1	Phytophthora drechsleri
HQ261551.1	Phytophthora drechsleri
HQ261552.1	Phytophthora drechsleri
HQ261553.1	Phytophthora drechsleri
GQ847755.1	Phytophthora elongata
AF266797.1	Phytophthora erythroseptica
AY659445.1	Phytophthora erythroseptica
AY659449.1	Phytophthora erythroseptica
GU993891.1	Phytophthora erythroseptica
HQ261554.1	Phytophthora erythroseptica
HQ261555.1	Phytophthora erythroseptica
HQ643221.1	Phytophthora erythroseptica
HQ643222.1	Phytophthora erythroseptica
HQ643224.1	Phytophthora erythroseptica
HQ643225.1	Phytophthora erythroseptica
HQ643226.1	Phytophthora erythroseptica
HQ643227.1	Phytophthora erythroseptica
HQ643228.1	Phytophthora erythroseptica
AF449491.1	Phytophthora europaea
HQ261556.1	Phytophthora europaea
HQ643229.1	Phytophthora europaea
DQ297392.1	Phytophthora fallax
DQ297398.1	Phytophthora fallax
HQ261557.1	Phytophthora fallax
HQ261558.1	Phytophthora fallax
HQ261559.1	Phytophthora fallax
EU593261.2	Phytophthora fluvialis
JF701435.1	Phytophthora fluvialis
JF701436.1	Phytophthora fluvialis
EF120469.1	Phytophthora foliorum
HQ261560.1	Phytophthora foliorum
HQ261561.1	Phytophthora foliorum
AB305065.1	Phytophthora fragaefolia
AF266762.1	Phytophthora fragariae
HQ261562.1	Phytophthora fragariae
HQ261563.1	Phytophthora fragariae
HQ261564.1	Phytophthora fragariae
HQ261565.1	Phytophthora fragariae
HQ643230.1	Phytophthora fragariae
HQ643231.1	Phytophthora fragariae
DQ988177.1	Phytophthora frigida
HQ261566.1	Phytophthora frigida
HQ261567.1	Phytophthora frigida
HQ261568.1	Phytophthora frigida
HQ261569.1	Phytophthora frigida
DQ286726.1	Phytophthora gallica
FJ217679.1	Phytophthora gemini
FJ217680.1	Phytophthora gemini
HQ012933.1	Phytophthora gibbosa
HQ012936.1	Phytophthora gibbosa
AF279127.2	Phytophthora glovera
AF279128.2	Phytophthora glovera
AF541887.1	Phytophthora gonapodyides
AF541888.1	Phytophthora gonapodyides
AF541891.1	Phytophthora gonapodyides
AF541892.1	Phytophthora gonapodyides
AY787025.1	Phytophthora gonapodyides
GU993893.1	Phytophthora gonapodyides
HQ261570.1	Phytophthora gonapodyides
HQ643232.1	Phytophthora gonapodyides
HQ643233.1	Phytophthora gonapodyides
HQ643235.1	Phytophthora gonapodyides
HQ643236.1	Phytophthora gonapodyides
AF541903.1	Phytophthora gregata
AF541904.1	Phytophthora gregata
EU301171.2	Phytophthora gregata
EU301173.2	Phytophthora gregata
HQ012938.1	Phytophthora gregata
HQ012942.1	Phytophthora gregata
AY707987.1	Phytophthora hedraiandra
HQ261571.1	Phytophthora hedraiandra
HQ643237.1	Phytophthora hedraiandra
AF266770.1	Phytophthora heveae
GU993894.1	Phytophthora heveae
HQ261572.1	Phytophthora heveae
HQ261573.1	Phytophthora heveae
HQ261574.1	Phytophthora heveae
HQ261575.1	Phytophthora heveae
HQ643238.1	Phytophthora heveae
KP295301.1	Phytophthora heveae
AY369370.1	Phytophthora hibernalis
AY369375.1	Phytophthora hibernalis
HQ261576.1	Phytophthora hibernalis
HQ643240.1	Phytophthora hibernalis
HQ643241.1	Phytophthora hibernalis
HQ643242.1	Phytophthora himalayensis
HM752784.1	Phytophthora himalsilva
AF266792.2	Phytophthora humicola
HQ261577.1	Phytophthora humicola
HQ261578.1	Phytophthora humicola
HQ643243.1	Phytophthora humicola
HQ643244.1	Phytophthora humicola
HQ643245.1	Phytophthora humicola
KC249960.1	Phytophthora hydrogena
EU583793.1	Phytophthora hydropathica
AF266773.1	Phytophthora idaei
HQ261579.1	Phytophthora idaei
HQ643246.1	Phytophthora idaei
AJ131990.1	Phytophthora ilicis
HQ261580.1	Phytophthora ilicis
HQ261581.1	Phytophthora ilicis
HQ261582.1	Phytophthora ilicis
HQ261583.1	Phytophthora ilicis
AF266779.1	Phytophthora infestans
HQ261584.1	Phytophthora infestans
HQ261585.1	Phytophthora infestans
HQ261586.1	Phytophthora infestans
HQ261587.1	Phytophthora infestans
HQ261588.1	Phytophthora infestans
HQ261589.1	Phytophthora infestans
HQ643247.1	Phytophthora infestans
GU993896.1	Phytophthora inflata
AF271222.1	Phytophthora insolita
GU993897.1	Phytophthora insolita
HQ261590.1	Phytophthora insolita
HQ261591.1	Phytophthora insolita
AF541912.1	Phytophthora inundata
HQ261592.1	Phytophthora inundata
HQ261593.1	Phytophthora inundata
HQ261594.1	Phytophthora inundata
HQ643250.1	Phytophthora inundata
HQ643251.1	Phytophthora inundata
HQ643252.1	Phytophthora inundata
AY770742.1	Phytophthora ipomoeae
HQ261595.1	Phytophthora ipomoeae
HQ261596.1	Phytophthora ipomoeae
HQ261597.1	Phytophthora ipomoeae
HQ643253.1	Phytophthora ipomoeae
AJ131987.1	Phytophthora iranica
