Source	Site	Process	Period	Year-Month	Sample	Accession
River	A	Filtration	19	2016-01	OSU484	SRR6303585
Reservoir	K	Leaf baiting	18	2016-01	OSU483	SRR6303586
Reservoir	L	Filtration	18	2016-01	OSU475	SRR6303587
Reservoir	J	Leaf baiting	18	2016-01	OSU482	SRR6303588
Reservoir	K	Filtration	18	2016-01	OSU474	SRR6303589
Runoff	B	Filtration	10	2015-09	OSU338	SRR6303590
River	A	Leaf baiting	10	2015-09	OSU357	SRR6303591
Runoff	F	Filtration	02	2015-05	OSU101	SRR6303592
Runoff	E	Leaf baiting	02	2015-05	OSU118	SRR6303593
Reservoir	G	Leaf baiting	02	2015-05	OSU120	SRR6303594
Reservoir	G	Filtration	02	2015-05	OSU102	SRR6303595
Runoff	H	Leaf baiting	02	2015-05	OSU121	SRR6303596
Runoff	H	Filtration	02	2015-05	OSU103	SRR6303597
Runoff	I	Leaf baiting	02	2015-05	OSU122	SRR6303598
Runoff	I	Filtration	02	2015-05	OSU104	SRR6303599
Reservoir	K	Filtration	02	2015-05	OSU106	SRR6303600
Reservoir	J	Filtration	02	2015-05	OSU105	SRR6303601
Reservoir	J	Filtration	10	2015-09	OSU343	SRR6303602
Runoff	I	Leaf baiting	10	2015-09	OSU361	SRR6303603
Reservoir	C	Filtration	26	2016-04	OSU596	SRR6303604
Runoff	D	Filtration	26	2016-04	OSU597	SRR6303605
Runoff	H	Filtration	25	2016-04	OSU578	SRR6303606
Runoff	I	Filtration	25	2016-04	OSU579	SRR6303607
Runoff	F	Leaf baiting	16	2015-12	OSU447	SRR6303608
Reservoir	G	Filtration	16	2015-12	OSU438	SRR6303609
Reservoir	C	Filtration	16	2015-12	OSU436	SRR6303610
Reservoir	C	Leaf baiting	16	2015-12	OSU446	SRR6303611
Reservoir	G	Filtration	25	2016-04	OSU577	SRR6303612
Runoff	D	Filtration	25	2016-04	OSU576	SRR6303613
Reservoir	G	Leaf baiting	16	2015-12	OSU448	SRR6303614
Runoff	H	Filtration	16	2015-12	OSU439	SRR6303615
River	A	Filtration	25	2016-04	OSU573	SRR6303616
River	M	Filtration	24	2016-03	OSU572	SRR6303617
Reservoir	C	Filtration	25	2016-04	OSU575	SRR6303618
Runoff	B	Filtration	25	2016-04	OSU574	SRR6303619
Reservoir	J	Filtration	24	2016-03	OSU569	SRR6303620
Runoff	I	Filtration	24	2016-03	OSU568	SRR6303621
Reservoir	L	Filtration	24	2016-03	OSU571	SRR6303622
Reservoir	K	Filtration	24	2016-03	OSU570	SRR6303623
River	M	Filtration	09	2015-08	OSU303	SRR6303624
River	A	Filtration	10	2015-09	OSU337	SRR6303625
Reservoir	K	Filtration	09	2015-08	OSU301	SRR6303626
Reservoir	L	Filtration	09	2015-08	OSU302	SRR6303627
Runoff	I	Filtration	09	2015-08	OSU299	SRR6303628
Reservoir	J	Filtration	09	2015-08	OSU300	SRR6303629
Reservoir	G	Filtration	09	2015-08	OSU297	SRR6303630
Runoff	H	Filtration	09	2015-08	OSU298	SRR6303631
Runoff	B	Filtration	09	2015-08	OSU295	SRR6303632
Reservoir	C	Filtration	09	2015-08	OSU296	SRR6303633
Runoff	I	Filtration	05	2015-06	OSU204	SRR6303634
Runoff	H	Leaf baiting	05	2015-06	OSU227	SRR6303635
Runoff	H	Leaf baiting	05	2015-06	OSU213	SRR6303636
Runoff	H	Filtration	05	2015-06	OSU203	SRR6303637
Reservoir	J	Leaf baiting	05	2015-06	OSU215	SRR6303638
Reservoir	J	Filtration	05	2015-06	OSU205	SRR6303639
Runoff	I	Leaf baiting	05	2015-06	OSU228	SRR6303640
Runoff	I	Leaf baiting	05	2015-06	OSU214	SRR6303641
Reservoir	K	Leaf baiting	05	2015-06	OSU229	SRR6303642
Reservoir	K	Filtration	05	2015-06	OSU206	SRR6303643
Reservoir	G	Filtration	05	2015-06	OSU202	SRR6303644
Reservoir	G	Leaf baiting	05	2015-06	OSU226	SRR6303645
Reservoir	C	Filtration	05	2015-06	OSU201	SRR6303646
Reservoir	C	Leaf baiting	05	2015-06	OSU211	SRR6303647
Runoff	B	Leaf baiting	05	2015-06	OSU210	SRR6303648
Runoff	B	Leaf baiting	05	2015-06	OSU225	SRR6303649
River	A	Leaf baiting	05	2015-06	OSU230	SRR6303650
Runoff	B	Filtration	05	2015-06	OSU200	SRR6303651
River	M	Filtration	04	2015-06	OSU172	SRR6303652
River	M	Leaf baiting	04	2015-06	OSU184	SRR6303653
Reservoir	J	Filtration	27	2016-05	OSU626	SRR6303654
Reservoir	K	Filtration	27	2016-05	OSU627	SRR6303655
Reservoir	L	Filtration	27	2016-05	OSU628	SRR6303656
River	M	Filtration	27	2016-05	OSU629	SRR6303657
Reservoir	G	Filtration	27	2016-05	OSU624	SRR6303658
Runoff	H	Filtration	27	2016-05	OSU625	SRR6303659
Runoff	H	Filtration	27	2016-05	OSU632	SRR6303660
Runoff	H	Filtration	27	2016-05	OSU633	SRR6303661
Runoff	H	Filtration	28	2016-05	OSU634	SRR6303662
Runoff	H	Filtration	28	2016-05	OSU635	SRR6303663
River	A	Filtration	21	2016-02	OSU515	SRR6303664
