#sequence-name	taxid	genus-species
11b74237bf44899f24ace62be657172a_276966	1692154	Phytophthora chlamydospora
909898bdc6f044b983625ae41633c558_242078	544909	Phytophthora parsiana
91887f2c7c65630f6c3fe33ba4221820_217109	2675548;658425	Phytophthora caryae;Phytophthora pini
32159de6cbb6df37d084e31c37c30e7b_157510	67594	Phytophthora syringae
3dd3b5989ee07ed2d2b3fac826dbb94f_148243	795339	Phytopythium
8b7ec3f98d6fa904dee73e2a9b5f4b5d_98739	565287	Phytophthora irrigata
3cd14145747f26f7461cbba643388ff6_94516	1692154	Phytophthora chlamydospora
ed15fefb7a3655147115fc28a8d6d671_72343	78237	Phytophthora gonapodyides
6e847180a4da6eed316e1fb98b21218f_58570	639000	Phytophthora plurivora
ed286291132771717b7215691bff93b1_44202	4783	Phytophthora
dcedc83a57776c9594d28c2dec55dffe_41419	175300	Phytophthora hibernalis
f536a0b271339b12326e25148e6aa2aa_37674	596104	Phytophthora multivora
3c8cf2635297e7c71b353978a70d5d96_35953	1197710	Phytophthora bilorbang
116a6d9bfaba2efc4ca8a8619b99a5ee_34050	0	
2a6db92631fcdc2d441c732ec7b40bd5_33754	0	
4d18a55292abd5641a58c64b8cb13352_31449	0	
8a86491c48b4ca04d7937ca71706b035_30453	0	
dcd6316eb77be50ee344fbeca6e005c7_25397	164328	Phytophthora ramorum
ed32541ef8addf4b146847ac02646b28_24425	4793	Phytophthora citrophthora
69a6ec6f66e77a7e36dce60bc02ef5ea_23748	0	
783143261c94eddc7a13630cd5ba33ee_23358	4793	Phytophthora citrophthora
f39d1fc4a489aa764020ae6939baad11_22665	1197710	Phytophthora bilorbang
39631ac54dd667596b15ce47aaed6542_21297	0	
f98c76e966cd82d59c180d4eb20d3d0c_20726	1448052	Globisporangium
469905eea48a3cbb32d58040f64d71e3_20041	0	
7f3b213656cc5541bdcdf4692a3ed5bb_19711	1771973;4788	Phytophthora crassamura;Phytophthora megasperma
51414f16b7c7844ddf50e69b064a5013_18825	596104	Phytophthora multivora
0e3f936ca7398e9e76e6a2ebd9a03e3d_18371	0	
4dc4104da781277834c724494ea3fbf9_18170	4783	Phytophthora
67c28bffa343eb242b9793b0666845b4_17472	1190534	Phytophthora lacustris
3ecfc8b8e91ffce3cf91ada6599349c8_17354	0	
a419efb1a07793c9c9b1ffa00a54b23e_16872	0	
