#sequence-name	taxid	genus-species
129a2455f3d158a147beb166f6360bc0_524241	0	Rhabditis sp.
3e2ec0bc09f17ec7226f9d4fc7a9aa1d_469962	0	Prionchulus punctatus
ac1094c93d38a075217806bcab90ce46_397908	0	Prionchulus punctatus
a127bea6c249a04249447482be98a19c_316859	0	
4f0beee5ef417c06ea2ee714ec06a7da_306128	0	Fungi
a18ea2d390b9fa38089677c83847e5ee_291891	0	
bd77fbb88e527e94dd4525ade2c93bce_289119	0	
507a6a1677fd69b5fdbf0e0623108dee_237740	0	Globodera pallida;Globodera rostochiensis;Globodera sp.
5aec8b2a89a488252dbeda6ef3b5ca81_177635	0	
83b25b109da6595b683ca4e5809e0263_129164	0	Rhabditis sp.
8db9e858c0c5ab7bcace8be703c5d0e4_105467	0	
c96cd331cd3565cc0015b00d4322c52e_103897	0	
6f6e131afca5276d21689e28a4bf8ea6_87319	0	Cercomonas sp.
734621008d8a75840468bba2fc3e06b2_85647	0	Ditylenchus dipsaci
1cce8b8d33dc31c193368f51fd15cb3a_62743	0	Sphaerularioidea gen. sp. EM-2016
f4d778790aad2582f8e3ab658b926e30_61826	0	
a6fc2a04db3f60692deba0674cc1fc81_57957	0	
416772ae251cf9d0d60e9d719719594f_52692	0	
2c271794b3e6983389d50a00e8d8056c_49665	0	Xiphinema diversicaudatum
d8a5938c7431d1d07446c9bec2ce74be_46465	0	
38bb061947825795eaa7afba0190ad50_46269	0	Pristionchus sp.
868d5ccaf9403675467cd48d381805e6_45400	0	Plectus sp.
572204e2d6928b57223ab793ca2289ca_42373	0	Trichodorus primitivus
b0ccf5be9642bc4184b615342422b9c5_40927	0	Meloidogyne hapla
eecd22dc79bc7e61f2e3a6018421897c_40333	0	Aporcelaimellus sp.
efd32506bdd25a62df013e8cfbd0bb06_37659	0	
5e7551b3053a509b7f1544099b5419af_35406	0	Globodera pallida;Globodera rostochiensis;Globodera sp.
065a9321755b43df62b5d22ed4a02dd3_35349	0	Ditylenchus dipsaci
c78a7a968c8dbe07f8201e141c63f505_31191	0	
c44827302fa2a3b86404fb23d76df2ef_31172	0	
