#sequence-name	taxid	genus-species
4d59b932475795e18eae905a673e68b6_403645	0	
c1f8e04486c044765e4ee4435bb0addd_120893	0	
6867c5f56b20a588287305c0693b1e09_89648	0	
b7daa1dfd257b987d4d0197a8339a950_86792	0	
534ee9241961a392f4a01ec8650d3499_52046	0	
1e101264b025acedc5ba207073c6469b_31278	0	Meloidogyne hapla
883efc0df57960eaeac86bcb39217d4b_23110	0	
ffca74eac9da2b6093a8f711b9301a77_20110	0	
08aebc09080cbcc85a46a58d090e263f_18926	0	
f468339d24aee86df33c0a3fffdf22d7_16158	0	
7a75e16d3313d1443eb2333854201951_12947	0	
d7a6364f91d09d3d50bf9ef1fc641082_11845	0	
27eee5c4642924405d0fc0ce10e16f39_11841	0	
2a13f6dc6ddb98c43479cb22c4054a3e_9519	0	
47b675cdb67a378cf61b9e1daae3d9e1_7326	0	
41b79f24e5150714e20a7ef67aa19046_7316	0	
de1fdf909658473b5adb7f78c2813a58_5677	0	
a82badfee5fb066b39dd54ab0c74f87f_5427	0	
9c6904ac05b656590c2063e3927302af_4873	0	
93337890c5d79d8b61baed685b82c7f6_4737	0	
68f27cd7b790eea83159802d629cfb88_3948	0	
71b0372ffb4a1697f66ed4bcfa240cde_2915	0	
9a38d00c6466741e1d79a69bcd45436c_2468	0	
271ce9dded87104c14a939d67fdb62d1_2133	0	
be2aebb64a5132f8d5d92327d468da54_2057	0	
c2ddef6e93680159a6eb1fe32814bba5_2044	0	
fe0aa59172ff249b1e7a62550932c851_1920	0	
0fec9d4c51b00999b1607849a7083033_1833	0	
38d813999195765599af96039f09dd66_1515	0	
3a83b619db105b131ab4df261dec6da7_1446	0	
ce20450be0ece8aa4d68752febe576a4_1444	0	
0c225e2a89ddc409dde7a1158f8f6987_1401	0	
2df4e1216649916cbb887cef638a05be_1372	0	
926da80264c9f6992bee667e7c0f74af_1168	0	
abda8e95bb72527e30f08e9355a7313c_1107	0	
4a159c79bcf2d5daa19d6eac50c7f397_1049	0	
53b63aa040b36298003132875c977bda_1020	0	
001bf2fb29d790215ae3e84953ed9de0_989	0	
19cb90f8431ef3a4860f627d4c600c8f_982	0	
cdd73d91580ad161089ceadcf1bbfb5f_965	0	
b0cf051efe634259091bda5f4a4a62e7_949	0	
d97f9fef7b266250791ea6dbbcec4c49_948	0	
d7f31caf5d53d5da96d4ce5d32592e33_857	0	
8aae38eca3bc1512e4b474776718422f_746	0	
569095d72dcab086b8e9cac0827a149f_722	0	
7c0bc39228960dfb75e4a8d6a42383d8_292	0	
25a85b5acb4ebbb355e7aa7c0f298177_158	0	
600c514dfaf42ea6f05d5631efd81815_113	0	
ac7cba4afc5e64506e08310baf42cd8a_81	0	
7b4c406f72ca5cd1edbe8e381b94a07e_73	0	
a0689bcd19f3680c7ff1bb2a7ebaa7ea_67	0	
72bec89bcefe0aa1874f5ba77c99b91b_62	0	
8f34db0a1f176f9e97979e0a2aad0cbe_61	0	
8df2703eade6184a14059e065eb55751_61	0	
fd988ad4718903cb342966c1791c193f_49	0	
e0667ffc9064c1eeb96ff46ed8729f68_48	0	
f8dc912c81a4e02ba2b8941bc2377235_48	0	
595ae4f9f2b703df0d1aae7749b8facf_46	0	
160e3be432f42324c261fdfd5144f51d_44	0	
