#sequence-name	taxid	genus-species
dd25fbcdf34857ce075f31416a7c7c3e_235894	0	Pristionchus sp.
7a7e22fcaf94da1c41b93358e98ba21f_225315	0	Prionchulus cf. punctatus TSH-2005;Prionchulus muscorum;Prionchulus punctatus
11edff1cbe5ea70d9173e023377e2df7_218498	0	Ditylenchus dipsaci;Ditylenchus weischeri
75ded45d4b73ccfb8a92b6adeeaa7ffa_216526	0	
1b481b5a895ec67cb88448ee9b15c8ae_204484	0	Rhabditis sp.
b239482d3c3c65a092d079e5e2a2d48e_192442	0	Steinernema carpocapsae;Steinernema monticolum;Steinernema sp.;Steinernema websteri
ea53548e219648fb3f49602b7533c292_180532	0	Tripyla daviesae;Tripyla sp.
0e4e1c7315f41d039ff1c0d397530946_66370	0	Globodera achilleae;Globodera artemisiae;Globodera mexicana;Globodera pallida;Globodera rostochiensis;Globodera sp.;Globodera tabacum
fc20afff26127fec86dd91df93c0239c_46934	0	Longidorus caespiticola
d9c92b314ab8c0115031aa2a5e812ea4_44558	0	Anatonchus tridentatus
239e66e8d85b8f537c3430fdc9c480f7_35410	0	Rhabditis sp.
7f81e57d8b5ca638246182f17ce162bb_31398	0	Pristionchus sp.
c159256d064750485b64b4d407511bf7_29254	0	Fungi
b46b01b4f4b0525948c2369323d32418_20720	0	Trichodorus primitivus
208f4bbbf163abf02b401d564487da16_19800	0	Xiphinema bakeri;Xiphinema coxi europaeum;Xiphinema diversicaudatum;Xiphinema japonicum;Xiphinema pseudocoxi;Xiphinema vuittenezi
2cfb701e3d6ee68c5752debd751d98a5_19209	0	Fungi
b08d763705a28f2624aae675a88bc8b6_17895	0	Fungi
5a1265ead774b9bb4e2488d83bbed085_15896	0	
ff9023ccf06b7a4ee070291f7e8248d0_15543	0	
46877a34b28f78cdd48473f7c748f039_14189	0	Meloidogyne hapla
2aeef4be78dc7d6df71492d7295772a0_14083	0	
e4b11af688f498f5ec180ae912dcfe94_13703	0	
296099c9c1b80a5e1ea9a68a5b36ef8a_13133	0	Aporcelaimellus sp.
2efafaac7589c9e7cd245bc0f9f67d6a_12643	0	Plectus sp.
314a72ad0eb4243b59d5ab083c013436_12334	0	
ddabc1d6ec573fca18199126509bfa2c_12187	0	
a708fea9fb6b8602b7751556f7e73975_11684	0	
