#sequence-name	taxid	genus-species
01062f2e246e03a9bed8d0cd5b830284_380068	0	Prionchulus muscorum;Prionchulus punctatus
68ee3325c62cae14a4f659c90b1c175a_267398	0	Prionchulus sp.
89c2f2dc63c722cb5cc93ebddb539321_99479	0	Longidorus caespiticola
11e4978061b12dbdb0367790edfb4306_97596	0	Anatonchus tridentatus
553467f017b0a1efca0cfccae514a473_62618	0	Steinernema carpocapsae
fdc4fd086cf2dd747a91ab594a52a301_59845	0	Trichodorus primitivus
ce7961961ad38b26afd06cb82eed8990_49695	0	
f1039bbc09c6cb76550bf13ea7ad263d_47783	0	
54c00c0364ac58aa1b5fd607172ae29d_37127	0	Prionchulus muscorum;Prionchulus punctatus
e7fa79090ea21192aa70f6cbb4b1e0f8_31347	0	Plectus sp.
3999a51bdfb291e5c599c0c433f2b313_30526	0	Aporcelaimellus sp.
63a969e41843e65cf74e0b55dc8ef0c9_28595	0	
ae7eaeb4fa9ed6d8ac6ebb01b37fde61_28460	0	Xiphinema diversicaudatum
c02e964e9d2fae05484496660332ff2f_26208	0	Prionchulus sp.
f8ae5f0390030aa6a8a8a79d2bcd7b84_22867	0	Longidorus caespiticola
475e71b9d904a212fb634ca261b6f249_17590	0	Aporcelaimellus sp.
f4fd6deb71991470eece2f25bd3d691e_15978	0	
43bbdb6f526d6db30231a1f75fe1efe9_14896	0	Anaplectus sp.
06f523a43b3d8cd7052394faec913401_13362	0	
5bfbfbf71882778aec1f6efe85e5bca2_13044	0	
65686918dba38f5db8df84a280d63ca0_13007	0	Trichodorus primitivus
6292716bef538ee3011f90040895c099_12790	0	
fc34cc012be098c236b379770923b9f2_12403	0	
2d4c2408e81c6fa693e2234859443c24_12028	0	
4b7c898bfd7b279cb298499d20920937_11936	0	
3f900bbb6952977a3cac92b56c2c7bb1_11114	0	
04a8086ff01d4bd594cf24c9f2d68639_10995	0	
3f72610de028984c01a289b6149c372c_10655	0	
41578c540e9172c5aebe7d387026e52f_10081	0	Blastocystis sp.
9bcf5f9a932cf29697cc99059e7166c8_9834	0	Acrobeloides sp.
8de2ffac999e3c12152b01a18fb3e37c_9740	0	
898b36bbb42e409b37c60629be5ddfa9_9732	0	
367bf4aea240af90d2d683fc5bacc7cd_9514	0	Alaimus sp.
946070d86214bf6ba26b54a6e2954ee1_9181	0	
5c77a91748f2dbcb2097db198d21459c_8671	0	
b57287873164f41ff3ba3da29567eb54_7902	0	
c450f13d58cedf9648b7ca4da4e167b1_7444	0	Steinernema carpocapsae
7e11aa7157f793518833a1e3ee51965a_6544	0	
8451559418dfb18f0fd05532759fcad6_6232	0	
2522233e4f58e996d188bc65c899e509_6203	0	
0a4a46650e9864ee93ab6cf63bce7936_5978	0	
5e97994e40e827f885c38953b8139bd6_5364	0	Fungi
11430dee06a0c78c6f0e68e5c6ee12d6_5319	0	Prionchulus sp.
3d96193b4b0b22535ae992f3a9eebc80_5282	0	
d786006e664b9afb7564bf14f2e73e05_4525	0	
