run_accession	instrument_model	library_name	fastq_md5	fastq_ftp	sample_alias
SRR7109326	Illumina MiSeq	m6-stds	d0712e4aea83301b074b2dbc39cc63ed;923bf66c9c51699e5a7ec8faa3fb6318	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/006/SRR7109326/SRR7109326_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/006/SRR7109326/SRR7109326_2.fastq.gz	BioMockStds
SRR7109327	Illumina MiSeq	m6-301-1	d83512119eadcd55103b2d7850423ea5;3b8ceaf328f9675fe16914abad825dc6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/007/SRR7109327/SRR7109327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/007/SRR7109327/SRR7109327_2.fastq.gz	301-1
SRR7109328	Illumina MiSeq	m6-mock3-32000b	ed47e39eb326b980ae7df8104be9dc26;1fe21f6199278a5e6925fbdf13535718	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/008/SRR7109328/SRR7109328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/008/SRR7109328/SRR7109328_2.fastq.gz	BioMock
SRR7109329	Illumina MiSeq	m6-766-1	e1103de4b3cddf8911029d8d7da54964;95bf7eab03b4c3f7f08d44d9dfc86d66	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/009/SRR7109329/SRR7109329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/009/SRR7109329/SRR7109329_2.fastq.gz	766-1
SRR7109330	Illumina MiSeq	m6-744-2	1a94a717a124bddc060d08c8bd3f1e04;9cbcb2038dc99e05043d3d897f687754	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/000/SRR7109330/SRR7109330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/000/SRR7109330/SRR7109330_2.fastq.gz	744-2
SRR7109331	Illumina MiSeq	m6-500-1	783fcb33609d311e1c3e5778956b58ef;ff4a4c10365b0540e0b4fe1f09f07b28	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/001/SRR7109331/SRR7109331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/001/SRR7109331/SRR7109331_2.fastq.gz	500-1
SRR7109332	Ion Torrent PGM	m5-736-2	e0a7e41d8c4efc104b4efb678eeea5d5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/002/SRR7109332/SRR7109332.fastq.gz	736-2
SRR7109333	Ion Torrent PGM	m5-755-1	3c3689383247ff04c54f0ca3192f9ec6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/003/SRR7109333/SRR7109333.fastq.gz	755-1
SRR7109334	Illumina MiSeq	m4A-301-1	e9f808378687616f539801d9916e5a6d;e33b7c137a949a1f5a8f5b1aa9c729d3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/004/SRR7109334/SRR7109334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/004/SRR7109334/SRR7109334_2.fastq.gz	301-1
SRR7109335	Ion Torrent PGM	m3-755-1	b36d33e0e1a4dc18a2d73a602e8517d5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/005/SRR7109335/SRR7109335.fastq.gz	755-1
