run_accession	library_name	sample_alias	group	read_count
SRR7109326	m6-stds	BioMockStds	Biological Mock	817764
SRR7109327	m6-301-1	301-1	Environment	890561
SRR7109328	m6-mock3-32000b	BioMock	Biological Mock	943839
SRR7109329	m6-766-1	766-1	Environment	840068
SRR7109330	m6-744-2	744-2	Environment	704173
SRR7109331	m6-500-1	500-1	Environment	911793
SRR7109341	m6-712-2	712-2	Environment	872265
SRR7109342	m6-500-2	500-2	Environment	879762
SRR7109343	m6-757-1	757-1	Environment	903886
SRR7109344	m6-757-2	757-2	Environment	1210627
SRR7109345	m6-mock3-16000	BioMock	Biological Mock	922440
SRR7109406	m6-712-1	712-1	Environment	897159
SRR7109408	m6-744-1	744-1	Environment	778090
SRR7109409	m6-mock3-32000a	BioMock	Biological Mock	1125275
SRR7109411	m6-766-2	766-2	Environment	785776
SRR7109412	m6-755-1	755-1	Environment	957067
SRR7109414	m6-736-1	736-1	Environment	998817
SRR7109415	m6-301-2	301-2	Environment	1181567
SRR7109417	m6-755-2	755-2	Environment	1071829
SRR7109418	m6-736-2	736-2	Environment	919363
SRR7109420	m6-SynMock	SynMock	Synthetic Mock	1299238
